label	text
20531	 жена человек без мечта что птица без крыло 
31524	 обращать внимание низкий для иномарка цена расходный материал технический обслуживание некоторый деталь евро первый третий передний крыло или половинка задний 
19801	 между точка конец крыло самолет возникать небольшой разность потенциал 
35257	 самарский ростовский область это регион где традиционно сильный правый крыло политический спектр 
35257	 подчеркивать без известный факт партийный принадлежность задержанный коданев иметь никакой отношение официальный партия либеральный россия входить другой крыло финансировать борис березовский 
31524	 сюда входить нижний часть правый задний крыло 
31524	 подобно как борт сходить стапель новый судно разбивать бутылка шампанское передний крыло один машина глаз 
20531	 быть ощущение что расправляться крыло паря как птица 
19801	 это правильный подход когда один производитель делать кабина самолет другой заниматься хвост третий разрабатывать крыло говорить филипп камю 
20531	 при это видный быть что елена прежде никогда замечать хвостовой оперение пролететь птица вставать почти вертикально заострять конец крыло опускаться книзу спичечный темно-серый ножка 
0	 дым рассеиваться уже комнатный табачный пороховой пушечный ветряной мельница махать крыло дом малый морской 
0	 генерал бенкендорф сидеть конь смотреть как махать крыло ветряной мельница 
0	 возвращаться война боевой генерал боевой конь ветряной мельница махать крыло дорога приключаться случай 
0	 если фалльский замок украшать горельеф молодой бенкендорф освобождать голландия наполеонов ярмо если фалльский парк вращать крыло голландский мельница копия праздный 
20531	 как раз большой белый птица черный шапочка свинцовый серый крыло пролететь прямо над они 
20531	 больной птица наоборот малоподвижный перо она взъерошивать крыло слегка опускать голова прижимать 
20531	 голова мой махать ухо как крыло птица 
20531	 выше трепетать крыло словно настоящий птица ярко раскрашивать 
20531	 вроде вколачивать каблучок гроб свой калека жизнь сам как птица бить крыло чтоб отлетать 
20531	 какой-то крупный птица махать крыло тщетно силиться лететь против ветер 
19801	 рухнуть мой надежда начинать свой путевой записка как-то необычно свежо например описывать полет над океан улыбка стюардесса спасательный жилет огонь город под крыло самолет едко высмеивать деление внутри 
19801	 под крыло самолет плыть красноватый земля 
20531	 как уметь они передавать мягкость пух райский птица мелкий чешуйка крыло колибри светоносность изумруд бронза 
36977	 множество окно здание этот выглядеть фестончатый как крыло стрекоза 
19801	 бензовоз отъезжать из-под крыло самолет винт самолет начинать медленно 
19801	 видный серый коробочка дома прямоугольник огород они скользить уходить под крыло самолет 
19801	 вот лес дрогнуть поползти под крыло самолет 
29548	 даренский быть известный карта событие происходить только южный крыло сталинградский фронт 
20531	 труд пробираться сквозь заросль наполнять крик птица шелест бесчисленный количество крыло 
20531	 март новый платок рука который неведомый птица распускать крыло хвост играть весь цвет 
20531	 открывать книга лежать ночной бабочка острый блестящий крыло 
20531	 быть тут еще какой-то птица небольшой серенький они держаться поодаль либо тоже что-то искать земля либо чиститься распускать веер крыло 
20531	 черный птица длинный бесшумный как кошка косо пронестись мимо они широко махать крыло 
20531	 соседний комната вылетать большой темный птица тихонько задеть крыло лысина буфетчик 
20531	 вдруг увидать белый птица она чуть наклонять крыло лететь над море 
20531	 особенно любить смотреть как время метель лететь сквозь снег опускаться земля птица они складывать вновь раскрывать крыло точно хотеть расставаться 
20531	 давно уже верить бог ангел зрительный представление небесный сила сохраняться детство думать что этот крылатый красивый человек лететь садиться так как птица они должный быть делать быстрый движение так как такой взмах крыло свидетельствовать суетливость 
20531	 птица трагически свистеть крыло носиться тоска они 
20531	 слышно кухня вспархивать шуршать крыло залетать птица вправо-влево вдруг 
