label	text
38881	 все рассаживаться лавка девушка заводить обрядовый прощальный 
19335	 мечтательный владелица бакалейный лавка красавица бросать жена тойбеле 
38881	 маленький мужчина доходить калитка бросать кол садиться лавка 
38881	 садиться лавка распускать ремень сумка 
38881	 старуха выронить рука полено садиться лавка старик оказываться умный испугаться 
38881	 егор садиться лавка становиться раздеваться 
38881	 тепло пахнуть голова закружиться садиться лавка дверь 
38881	 егор дремов садиться лавка стол тот самый 
38881	 сразу отвечать слезать печь надевать гимнастерка затягивать пояс босой садиться лавка 
38881	 тут дьякон садиться лавка становиться обирать сосулька борода 
38881	 тот кивнуть голова садиться лавка доставать шапка полотенце 
38881	 улита проговаривать она еще много понурить свой печальный личико лесник входить садиться лавка гроза проходить замечать после 
38881	 девочка который заснуть было возле печка вскакивать молчаливый испуг становиться глядеть садиться лавка какой поливать замечать 
19335	 многий храм форма почитание святыня превращаться способ зарабатывание деньги путем продажа магазин лавка этот самый святыня самый 
19335	 витрина магазин дамский одежда медленно крутиться три безголовый манекен крюк как тушь мясной лавка 
38881	 кедаев садиться лавка уставляться окно 
19335	 один другой вставать каменный здание гудеть паровой машина мельница лесопильный завод появляться словно гриб после дождь магазин магазинчик лавка лавочка ресторан трактир 
19335	 съезд просить правительство предоставлять сельский общество городской самоуправление право составление запретительный приговор продажа спиртной напиток допускать открытие новый заведение селение только согласие население выраженный сход участие женщина рабочий предоставлять право ходатайствовать закрытие винный лавка вблизи завод расстояние один 
19335	 выходить улица разменивать бакалейный лавка пятидолларовый купюра увесистый четвертак 
38881	 все садиться лавка спина печь главный семейный 
38881	 садиться лавка упираться она рука 
19335	 октябрь массовый избиение толпа демобилизованный солдат многочисленный китайский корейский торговец собственный офицер разгром лавка магазин рынок склад офицерский собрание 
19335	 результат владелец магазин лавка соглашаться приостановка работа свой 
19335	 вода яуза казаться черный как машинный масло маслянистый развод фонарь угол яузский улица серебрянический переулок быть винный полуподвальный стоптать ступенька магазин возле который всегда околачиваться пьяный полупьяный четвертьпьяный мужик который двое рассказывать впоследствии другой жизнь париж или уже помнить дижон двигубский позвать однажды соображать трое рубль небось нос как жалеть теперь говорить глядеть сена что отказываться быть что вспомнить теперь здесь другой жизнь каковой наш разговор как сам этот жизнь опять-таки разумеется воображать мочь себя тот поздний весенний вечер проходить мимо этот уже закрытый казаться винный лавка сворачивать бульвар 
38881	 они шумно рассаживаться деревянный лавка поставлять автомат между нога 
19335	 они обследовать долларовый банкнот случайный образ собирать бакалейный лавка местный школа 
19335	 юсеф талатин владелец лавка продажа маска для подводный 
19335	 это доктор бизнесмен фармацевт инженер производственный рабочий строитель сборщик мусор уличный дворник психолог владелец бакалейный лавка портной сельхозработник 
38881	 пока кирилл отсчитывать без сдача мурыгин грузно садиться лавка под окно стукнуть костяшка 
38881	 видимо имитация висеть небо светить быть для проекционный оборудование форсажный режим грым садиться лавка возле ограда несколько минута 
38881	 угол тюремный храм лавка рассаживаться полтора десяток побивать жизнь 
19335	 речь идти чтобы ограничивать поток некачественный пора псевдоправославный элемент оккультизм литература попадать церковный магазин лавка иногда становиться угроза церковный 
19335	 один настырный мальчик бакалейный лавка труд настрагивать себя миллион 
19335	 гостиный двор наполнять хороший магазин лавка погреб подвальный этаж 
38881	 московский вокзал касса стоять очередь честно садиться лавка охранять свой гришина вещь 
19335	 результат город пестреть игровой зал ювелирный лавка магазин сотовый телефон все 
