35543	 колючий друг или препод быть мишень это 
28103	 стрельба умолкать пока ждать когда подниматься мишень 
28103	 бывать еще ночной стрельба когда мрак делать расстрел мишень похожий охота 
35543	 что борис сожаление уязвимый для критика представлять себя хороший мишень тоже факт 
28103	 шмальнуть шпалера который для стрельба мишень годиться никак для 
28103	 они пригодный для сверхточный стрельба мишень для охота мелкий 
28103	 владимир слизаев уже становиться мишень наемный убийца 
35543	 она рекомендовать правительство государство член допускать преподавание креационизм как наука главный мишень современный креационист являться образование 
28103	 вчера быть стрельба даже мочь представлять себя как вытягиваться лицо наш коммод изумление когда пять выпускать пуля махальщик показывать три попадание головной мишень четыреста шаг 
28103	 почему пуля улетать прошлое или будущее дырявый голова несчастный мишень 
28103	 главный прицел естественно шведский мишень олимпийский ванкувер 
35543	 сам знать что взять себя этот неподъемный поручение совет мочь становиться мишень самый жестокий критика 
28103	 при стрельба смотреть только свой мишень говорить слепцов 
35543	 более расправляться наконец ненавистный журнал для который быть постоянный мишень издевательский критика сваливать твардовский прочно 
28103	 передавать стрела энергия столь большой что когда блочный лук быть запатентовывать затем обретать официальный спортивный статус спортсмен без лишний спор решать что максимальный усилие момент отрыв стрела тетива блочный лук использовать состязание должно превышать фунт потому что потенциальный возможность такой конструкция немереный мишень который стрельба этот 
35543	 этот цепь проблемный каждый связь каждый подобный отождествление становиться мишень кубриковский критика 
28103	 раз месяц полицейский сдавать стрельба три положение вытягивать рука два рука стрельба неожиданно появляться мишень когда надо успевать расстегнуть кобура 
28103	 менее соблюдение рекомендация различный диетолог напоминать стрельба двигаться мишень 
28103	 жизнь устав стрельба мишень сопка ваш сопка наш оставаться 
28103	 кроме внезапный вывод дежурный часть подразделение план главнокомандующий ввс полигон проведение они боевой стрельба мишень аналог нарушитель госграницы 
28103	 боевой пуск три ракета мишень стриж аналог крылатый ракета 
28103	 хотя даже конструктор называть кабан дьявольский мишень 
28103	 результат экспериментальный пуск быть отрабатывать методический рекомендация уничтожение указанный тип цель запуск мишень кабан условие полигон ашулук 
28103	 ростовчанин выполнять боевой стрельба два крылатый ракета стриж один аэробаллистический ракета мишень кабан условие постановка активный 
28103	 очень популярный стрельба мишень боевой оружие 
28103	 при нескоростной стрельба одиночный выстрел это тоже иметь значение как известно когда пистолет дернуться рука после выстрел пуля уже находиться мишень 
28103	 сначала каменистый склон устанавливаться мишень или цинк 
28103	 дальность использоваться тот число качаться мишень выполнять любой плотный материал 
28103	 при выполнение оба упражнение боевой стрельба кроме оценка правильность тактический действие оцениваться управление огонь полнота частота поражение мишень 
28103	 сумочка для плеер пояс время стрельба мишень 
