label	text
39252	 гениальный поэт светский лев знать весь мир 
28022	 едва каждый балкон палаццо имя который лень быть лезть путеводитель колотиться ветер малиновый желтый флаг венеция крылатый лев по-хозяйски полагать лапа евангелие 
28022	 вместо сетка теперь лежать лев коричневый грива 
28022	 луч стоять три зверь подкрашивать хна похожий пьяный черчилль лев темно-синий бык покрывать жмуриться 
28022	 бегемот самый опасный существо африка лев крокодил бегемот 
28022	 львенок арсений всегда рождаться львица мертвый третий день приходить лев вдыхать оно жизнь 
28022	 они изображать самый страшный зверь мамонтов медведь лев 
1	 судить сам июнь матч россия чехия вроцлав киев лев снова киев харьков 
28022	 среди международный награда труппа золотой лев международный акробатический фестиваль 
28022	 различный род национальный международный конкурс номер труппа человек завоевывать более приз тот число три самый высокий приз золотой клоун международный конкурс цирковой искусство монте-карло три приз президент республика международный цирковой фестиваль завтра франция два первый приз золотой лев всекитайский конкурс артист цирк 
28022	 давать папа лев твой львенок 
28022	 выходить лев один зверь захлопать выходить слон 
28022	 третий галерея примечательный крыша чей линия иметь форма тело змея голова хвост который находиться пасть лев гаруд 
0	 далее образовываться такой пара овен собака телец рука близнец дерево рак ящерица лев игуана дева паук весы фрегат 
28022	 еще плейстоцен царство гигантский млекопитающее мамонт мастодонт шестиметровый ленивец пещерный лев медведь саблезубый тигр гигантский 
0	 карусель зодиак повертываться так что огромный лев изгибаться будто перепрыгивать через храм 
28022	 лев фланг зверь продолжать теснить орк 
28022	 едва каждый балкон палаццо имя который лень быть лезть путеводитель колотиться ветер малиновый желтый флаг венеция крылатый лев хозяйски полагать лапа 
1	 киевлянин западный украина возможно формироваться новый народ его центр лев народ мочь становиться общество 
28022	 любитель современный мультфильм который вовсе лишать прекрасный графика музыкальный сопровождение все для абсолютный фаворит король лев 
28022	 фрагмент король лев это что быть для 
28022	 фрагмент король лев относиться мультик который мочь 
28022	 король лев хит студия уолт дисней замечательный 
28022	 несомненно король лев это классика один современный 
28022	 король лев тот диснеевский мультфильм про который 
28022	 ведь кто спрашивать любой отвечать что король лев настоящий чудо мир кино 
28022	 король лев первый очередь уникальный история 
28022	 ведь весь это так или иначе сталкиваться любой человек поэтому нет ничто удивительный что король лев быть обрекать успех 
28022	 если мой бабушка мария спрашивать астролог тот просто разводить рука лев тигр ядерный сочетание 
28022	 этот два кошка похожий между себя много чем лев тигр 
28022	 косматый лев меч лапа отражаться 
0	 рядом яркий светило она оказываться поллукс близнец регулы лев спик дева 
28022	 такой модель игровой поведение называться хищник жертва она характерный для взрослый дикий кошка лев тигр леопард 
1	 конечно ведь это демократический украина преступный сталинский режим оттяпывать лев который демократический украина сейчас пользоваться 
1	 цокур владимир киев конотоп хотя уже возможно нет лев тернополь 
28022	 странный быть человек сначала безжалостно охотиться африка лев старость заводить кошарня 
28022	 крутануться место лев кропить из-под хвост угловой столб 
28022	 год летие независимость страна высокий постамент появляться уже знакомый лев тогда лапа 
28022	 тигр лев пеший орел нравиться папаша 
28022	 помнить поражать сиротливый каменный лев трава перед здание администрация 
28022	 то-то считать ягуар слишком то-то умный особенно учитывать близкий родство пантера который весь дрессировщик зоолог содержать дом считать свирепый блистать интеллект особенно фон тигр или лев пример 
28022	 один они принадлежать епископ елассонский арсения который сопровождать москва константинопольский патриарх иеремия год там находиться также сосуд который иметь подобие лев медведь волк бык лошадь олень 
28022	 помнить каменный лев его угловой вечно заколачивать 
28022	 человек два половина тысяча год уничтожать полностью вид животное они два треть последний два век многий вид кит лев тигр зебра волк дикий лошадь 
28022	 сейчас самый опасный животное африка лев бегемот 
0	 анис настраивать против ребенок десятилетний близнец лев степа 
28022	 лев кроить лапа филенчатый дверь 
1	 потом киев лев пока все 
28022	 неделя два назад когда только приезжать сочинский цирк сообщать что лев гулкий 
28022	 текст принятый вежливый телеграфистка гласить гастроль заслуживать артистка рсфср харьковский сочинский цирк сорвать ввиду выходить повиновение лев 
28022	 валя появляться ощущение что она там оставаться этот африка съедать лев или она сваливаться какой-нибудь 
1	 российский пиарщик всегда думать что состав украина уходить быть лев донецк киев быть 
28022	 легко львенок воспитывать молодой лев 
28022	 март год рамка проект европейский союз век фгуп амнгр удостоить международный награда золотой лев номинация руководитель век 
0	 если художник овен лев или стрелец стихия огонь 
1	 выходить свет монография доктор сельскохозяйственный наука лауреат международный премия область лесна наука генсирука лес украина лев 
1	 состав киев пво лев передавать состав прикво 
1	 праздничный богослужение принимать участие предстоятель православный церковь америка блаженный архиепископ вашингтонский митрополит весь америка канада герман предстоятель финский автономный православный церковь архиепископ карельский весь финляндия лев митрополит киевский весь украина 
1	 когда поехать мой лев поезд останавливаться киев 
1	 знаменитый белый камень древний москва добывать река дорогомиловский каменоломня где нынче гостиница украина отдельный жила месторождение тянуться под река сторона пресня некоторый артель добывать камень лев берег 
39252	 судить сам музыкант коллекционер светский лев вдруг террорист член тайный 
28022	 лев знак солнце поэтому львица обожать 
0	 символ иудейский культура свеча минор рука слагать как при молитва звезда давид знак зодиак лев встречаться весь ресторан 
28022	 затем быть цирк замечательный представление где фигурировать лев 
28022	 антракт дядя свой друг матарель пойти бар когда они проходить мимо клетка один лев высовывать лапа схватывать дядин 
28022	 миг одежда его быть разрывать пока оттаскивать лев успевать отрывать мускул рука 
28022	 дирекция цирк свой очередь подавать встречный иск упрекать матарель что сам спровоцировать лев агрессивный действие 
28022	 творчество израильтянин фишли вейсс который хороший выставлять произведение доставаться золотой лев подымать накоплять два десяток 
28022	 этот момент начинаться дикий сопротивление среда лев юлия пресняков клинический руководитель 
28022	 лев девять год только что 
28022	 два год лев сделать большой успех говорить 
28022	 тот время россель окончательно закрепляться прозвище дедушка соперник шептать что большой лев состариться кремль искать для 
28022	 морской лев погибать молодой игра они 
28022	 дельфин таскать трепать морской змея морской черепаха длинный лента водоросль ламинария который они есть косатка трепать водоросль морской лев морской леопард играть живой 
28022	 во-вторых структура кабинет министр образовывать министерство дело северный кавказ глава который вставать лев кузнецов досрочно сдавать пост губернатор 
28022	 нынешний снимать лето год информация время съемка находиться лев нижний угол поэтому многий объект 
28022	 начало десятый палата входить лев иосифович бенеменсон который глаз 
28022	 известно только что из-за неисправность клапан для слива авиакеросин располагать лев крыло вытекать менее 
28022	 какой зарплата лев авербах год санкт-петербург 
28022	 можно трижды четырежды пересекать она каменный висячий мост так понимать какой берег право или лев находиться 
28022	 еще два страничка вступление оно написать наш неуцелеть революционер лев каменев год накануне 
28022	 союз мидия вавилон они сокрушать мощь ассирия захватить столица логово лев ниневий 
28022	 год назад июль год рождаться историк медиевист философ религиозный мыслитель один идеолог евразийство лев платонович карсавин 
28022	 тот лев один век принадлежать польша 
28022	 вообще-то правый польша лев принадлежать гораздо долго год 
28022	 австро-венгрия лев принадлежать только год 
28022	 ученый полагать что полнолуние голод лев достигать свой максимум 
28022	 тетя соня тоже держаться свой сосед отчужденно лишь эрик уважать лев что тот двенадцать 
28022	 например австралия где геологически недавний время млекопитающее водиться только сумчатый возникать целый ряд форма словно копировать зверь старый свет сумчатый лев сумчатый крот сумчатый летяга 
28022	 тысяча лев южный африка влачить самый 
28022	 только период год численность лев убитый юар возрастать 
28022	 грудь болтаться полугражданский медаль лев ухо висеть два серьга наверно 
28022	 зоолог университет аризона течение несколько год исследовать популяция калифорнийский морской лев обнаруживать что этот животное 
28022	 тот факт что иоахим лев матьяж кек тренер обыгрывать 
28022	 два раз год дядя лев приезжать москва защищать диссертация 
28022	 премьер сначала расхохотаться решать что лев шутить тот заверять что 
28022	 они примыкать молодой беспартийный миллионер министр финансы терещенко также государственный контролер ива годнев обер-прокурор синод лев выражение милюков совершенно порабощать 
28022	 два год назад сидеть корточки аэропорт кельн спрашивать по-немецки молодой человек загорелый мускулистый пыльный шорты выцветать майка медный серьга ухо еловый татуировка лев предплечье свой пес пегий 
28022	 они голова качать лев большевик наслушаться 
28022	 этот короткий имя иметь также разговорный форма лев 
28022	 один тот актер отражаться клавдий лев зеркало старый добрый король 
28022	 академик нефедов свой время примерно тот круг вопрос что сегодня подымать академик лев заседание президиум ран 
28022	 освобождение италия который лев теперь считать свой второй родина 
28022	 варя андросова который гениальность находиться далеко позади лев родственник занимать целый ряд 
28022	 батальон который хиротаро служить врач получать приказ выдвигаться вперед лев фланг занимать сопка ирис улийна 
28022	 заходить садиться край тахта вежливость они секунда умолкать лев произносить что-нибудь насмешливо добрый 
28022	 всего лев три два лежать парапет 
28022	 тогда-то узнавать кое-что прошлое лев наумович его отношение князь кропоткин что лев наумович бывать галина бит 
28022	 гиена который наконец узнавать старуха хозяйка выводить себя что лев посметь помечать владение 
28022	 нрав сделаться ангельский последний год хоть иной мемуарист неистовый корень похожий игрушка который всякий демонстрировать лев вывозить любимый англия говорить соответственно по-английски очень добрый лев 
28022	 этот безусловный гад автор манер самый достоевский вряд спроста наделять старик карамазов собственный имя федор подарить целиком свой фио лев евгеньевич самсонов 
28022	 вскоре после отъезд высокий гость лев леонидович приглашать для консультация 
28022	 предлагаться поохотиться животное входящий большой пятерка это слон белый носорог лев леопард бизон разрешать охота 
28022	 этот испанский слово вещий лев называть человек повышенный творческий активность 
28022	 гольцман глотать кофе измученно вздыхать что глыба отваливать пещерный вход кто сидеть там среди мокрица корешок над остыть зола под наскальный роспись охота лев олень 
28022	 кручина понести стол пять порция веер зажимать правый кулак сразу три шампур лев два 
28022	 первый пять тоже нарисоваться лев один рука тарелка 
28022	 единственный традиционный меню операция для работа файл раскрываться теперь помощь круглый кнопка верхний лев угол который заменять прежний значок 
