0	 что там ты такой капитан спрашивать чей-то густой спокойный голос показываться седой красивый старик белый кок военный форма 
2	 трое двое заигрывать белобрысый девица третий толстенький маленький красный ирландский крой лицо черный прилизанный кок лоб предмет он 
0	 совершенно отчетливо видеть я этот берег видеть двигубский сидеть песок обхватить острый колено рука глядеть море видеть я видеть арабский семейство толстый мама четыре ребятишки множество подстилка располагаться двигубский справа видеть счастливый обладатель фисташковый кок кольный тележка тибетский невозмутимость 
2	 зачастую стиляга называть все кто что-то выделяться форсить зависимость то одевать он дудочка брюки клеш джинсы слушать джаз рок танцевать твист шейк кок он голова 
0	 я кровать сколько себя помнить висеть план огромный океанский пароход разрез который я конец мочь разглядывать каюта трап машина капитанский мостик трюм маленький человечек который гулять палуба обедать столик ресторан матрос кочегар там быть крошечный собака воровать сарделька кок 
2	 хорошо мирской дело редко лезть громко сказать отставлять вычищать тарелка один партиец жилистый смуглый мужчина похожий баба-яга мультик залихватский смоляной кок голова 
2	 обывательский представление стиляга одеваться стильно быть яркий чистый интенсивный окраска зеленый брюки желтый рубашка носить фиолетовый галстук огромный кок хохол вперед зачес назад 
2	 самый известный стиляга быть хасик коган высокий каблук голубой брюки огромный кок 
2	 борьба право носить узкий брюки бак напомаживать кок 
0	 моряк хороший ты быть я уверенный это внимательно взглядывать костя сказать одобрительный усмешка морской волк знать кок корабль далеко последний 
2	 впереди открывать красивый лоб возвышаться огромный кок 
2	 прическа еще довоенный впереди кок сзади валик 
2	 назначать роль торговец смерть шабашов входить последний его седой гордый кок стоять голова все как 
0	 гость который приглашать себя время завтрак иметь вид грядущий ланч русский американец американ быть уже знакомый мы анна константин привозить соседка подъезд екатерина глаз катька автор этот книга приезжать порознь галина анатолий капитан кок 
0	 другой культура искать примирительный линия вспомнить его подлинный натура капитан кок открыватель новый земля 
0	 некий капитан франц баннинг кок стоять центр картина оплачивать 
2	 становиться поза рефери демонстрировать себя анфас профиль картинно вскидывать голова взбивать она кок волос играть голос 
0	 тогда разгневанный левиафан устраивать шторм который гибнуть няня капитан помощник помощник поэт толстый кок великолепный партия комический бас 
2	 помнить он очень интересоваться свой сценический облик внимательно рассматривать мой эскиз ленский просить я обязательно сделать он модный тогда актер прическа высокий кок лоб 
0	 старый морской волк знать бесчисленный количество случай рассказывать друг мой друг служить кок парусник однажды судно потерпеть 
0	 экипаж эсминец матрос шлюпка все они нормальный один она кок телок плавать сэр 
0	 нужно быть выпутываться рано хорошо собираться совет капитан провиантмейстер кок врач полистать книга где быть 
2	 начинать ходить бродвей я принимать мужественный решение отращивать волос тарзан впереди делать кок пробор иногда 
1	 год рано все мир россия построить самолет би кок бронированный дно 
0	 нахлобучивать голова большой белый колпак дырка становиться похожий настоящий морской кок 
0	 нахлобучивать голова большой белый колпак дырка становиться похожий настоящий морской кок у моряк повар называть 
0	 тот график лапа матрос шесть расти они брюхо потому жрать ленинград быть некогда нечего кок весь камбузный команда 
0	 матрос кок его помощник санитар пожарный 
0	 рядом он работать судовой кок кешка 
0	 мой папа командовать матрос танцевать я скомандовать кок они угощать больной санитар показывать  
0	 вы повезти команда подбираться большой она мочь быть шкипер ответственный имущество боцман он обучать матрос сам матрос юнга кок 
0	 здесь капитан узнавать несколько ржавый банка выбрасывать нерадивый кок он быть наказывать административный 
1	 вода турбина вертеть ток подавать добавлять хозяин напиваться кок чай ясный погода 
2	 он округлять глаз понимать это кед стильный корочка микропорочка голова он кок школьный брюки 
2	 волос парень быть расчесывать пробор кудрявый лоб свешиваться кок похожий виноградный гроздь 
0	 когда-то дед плавать корабельный кок теперь он работать повар 
0	 капитан высовываться окошко привет кок ялта собираться 
0	 команда состоять восемь человек капитан помощник первый второй механика боцман радист матрос кок 
0	 капитан встречать он приветливо вызывать каюта толстой пароходный кок приказывать временно взять мальчик 
0	 все усаживаться стол морской традиция корабельный кок угощать болгарский коньяк по-болгарски сваривать 
0	 весь экипаж она состоять человек матрос пять рабочий их число кок тот судовой повар капитан 
0	 кок прелестный стройный юноша черный 
0	 улица гельсингфорс мы видеть красный гвардия капитан кок 
1	 второй турбина позволять давать ток усталый далеко кок су 
1	 кок винт первый врезаться листва 
0	 весь моряк капитан кок одинаково жадный внимание ждать 
2	 то встречаться прическа прямой пробор равный образ прическа кок лоб язык пламень 
