label	text
36563	 хлопнуть входной дверь алеша уходить работа губа мой сын дрожать так много 
36563	 она глядеть что-то перебирать западать губа мямлить слово разбирать 
36563	 серебряков взять она рука хозяин белоснежный платок брезгливый обтирать она губа уводить себя как 
36563	 приэало школа выходить мой красавица настроение плохой губа надувать 
36563	 вот мой аська параллельный пфу пфу пфу деревяшка постучать насчет пирсинг тоже против всякий проколтый язык губа пупок обяснивать свой понимать 
36563	 все отлично веселый компания время лететь незаметно доставать зеркало чтобы поправлять макияж губа или глаз понимать что 
36563	 единственный что оставаться сделать так это открывать помада слегка прикасаться она губа 
36563	 прежде чем пригубливать бокал слегка облизывать губа тогда стекло 
36563	 поправлять помада можно уголок бумажный салфетка проводить она контур припудривать губа снова накрасить 
36563	 кроме что блеск обогащать витамин еще содержать солнцезащитный фильтр тонкий кожа губа укрытие ультрафиолет никогда 
36563	 один момент вспомнить твой твой милый улыбка твой глубокий взгляд твой губа что прекрасно здравствовать говорить 
36563	 когда пить под губа над поверхность вода создавать область 
36563	 тогда волк покоситься нечистый сила беззвучно пошамкать губа сигануть самый ветвь 
36563	 испытуемый рис кораблик плыть волна рис кораблик море напряжение покусывать губа видеть нос 
36563	 испытуемый рис корабль море море синий пора голубой рис недоуменно моргать что-то труба удивленно подымать бровь рис ухудшаться погода дело буря поджимать губа рис рука лежать 
36563	 испытуемый рис плыть пароход спокойный море дым идти пароход искать что еще можно сказать кусать губа спокойный погода рис плыть  
36563	 труп склеивать сшивать обтягивать новый кожа прилеплять борода нарисовать глаз губа объявлять сын саддам хусейн 
36563	 чтобы охолонять зря раскатать губа нефтяной рента избиратель шахновский 
36563	 сложно представлять что год назад под слово бункер пониматься маленький подвальчик рижский интеллигентный охранник который прикладывать палец губа когда расходиться дом публика 
36563	 ирина поджимать губа чтобы справляться разъедать чувство 
36563	 ирина вздыхать поджимать губа смотреть сторона чужой 
36563	 признаваться олечка вдруг поддразнивать глинка отказываться пополнять этот домби свой коллекция ольга презрительно надувать губа если очень захотеть 
36563	 тетка надувать губа колюня она любить 
36563	 карикатурный портрет мишка титка нюшка душка сестра варя косичка надувать выпуклый верхний губа 
36563	 надувать толстый губа мрачно глядеть улица 
36563	 щека пухлый губа надувать выражение лицо зловещий 
36563	 шутка уставать этот занятие бабушка говорить что губа надувать 
36563	 надувать губа пойти раздумывать почему дудочка 
36563	 как харизматичный мягков образ перебирать москвич так весело морщить лоб надувать губа что только это лицо 
36563	 девочка уже надувать губа намереваться уронить блокнот слеза 
36563	 как сам свой слабость почуять почуять она другой федул губа надувать 
36563	 ага раскатать губа тут отреагировать аркадий 
36563	 сидеть свой кукла пол катя посмотреть брат прикладывать палец губа 
36563	 задумчиво проигрывать палец губа как клавиатура несколько шведский 
36563	 несколько раз взглядывать собираться что-то сказать прикладывать палец губа 
36563	 бросать губа надувать как федул 
36563	 сподвижнически очень злорадно браться хохотать стараться делать это тихо чтобы разбудить сосед этот время сквозь хохот слышаться какой-то звук прихожая прижимать палец губа звук повторяться 
36563	 петер даже слегка протрезветь оглядеться сторона прикладывать палец губа интернациональный жест конфиденциальность 
36563	 весь заплатить орать людмила щас раскатать губа орать раек руслан вцепляться 
36563	 агент улыбаться размыкать губа тряхнуть голова 
36563	 увидеть она прикладывать палец губа 
36563	 вот ангел прижимать палец губа разыгрывать пантомима как 
36563	 протягивать шалва рука ладонь вверх местный обычай затем быстро показывать гора направление храм прикладывать палец губа зачем-то заглядывать шалва прямо 
36563	 стас посмотреть черный скривиться кнопка дверной звонок надувать губа подумать что такой аксессуар 
36563	 элси надувать пухлый губа много народ бродить сейчас 
36563	 разрываеться между мама так говорить она обижаеться она хитрый что так губа надувать трубка бросать 
32217	 получать приглашение организовывать северный опытный лесничество переезжать архангельский губа 
32217	 более год работать лесничий имение поречье можайский уезд московский губа граф уваров 
32217	 евгения филиппович вотчал физиолог растение доктор ботаника академик усср родиться черниговский губа оканчивать казанский гимназия золотой 
32217	 первый председатель петербургский лесной общество рождаться полтавский губа оканчивать лесной 
32217	 федор ильич терехов известный ученый лесовод талантливый организатор лесохозяйственный наука родиться ярославский губа после окончание 
32217	 рождаться калач воронежский губа после окончание 
32217	 рождаться низ гдовский уезд петербургский губа после окончание 
32217	 виктор егорович граффа основоположник степной лесоразведение первый лесничий большой анадольский степной лесничество рождаться волынский губа оканчивать офицерский 
32217	 оканчивать офицерский класс лесной институт получать назначение екатеринославский губа 
32217	 член корреспондент петербургский родиться киевский губа оканчивать михайловский артиллерийский академия 
32217	 ученик академик дубаха рождаться клин тверская губа оканчивать ллта 
32217	 николай михайлович пржевальский великий русский путешественник географ исследователь центральный азия почетный член петербургский генерал-майор родиться смоленский губа окончание академия генштаб армия 
32217	 рождаться новгородский губа семья адмирал семен иванович 
32217	 оканчивать харьковский университет увлекаться орнитология составлять каталог орнитологический собрание птица таврический губа 
36563	 этот новый атака отец принимать такой несчастный вид что дочь приходить восторг восторг бить ножка пол или забавно надувать без толстый щека закатить глаз пришлепывать губа фыркать как-то странно резко 
36563	 прогонять она она обиженно надувать губа уходить сразу 
36563	 хотеть между отвечать гуров судя интонация капризно надувать губа 
32217	 рождаться ржев тверская губа оканчивать ленинградский 
32217	 рождаться дворяниновый тульский губа его военный карьера складываться довольно 
32217	 рождаться ломоносов петербургский губа оканчивать 
36563	 полковник собираться обвинять вульгарный коррупция получение взятка руководитель один коммерческий предприятие уже раскатать губа четыре тысяча доллар который 
40001	 губа гауптвахта понятие пришедший мы немецкий язык
40001	 год положение устав вооруженный сила гауптвахта отменить полностью убрать губа 
40001	 год быть принять закон возвращение губа армия россия
40001	 попасть единственный раз губа армия
40001	 естественно утренний построение комбат доложить рота подняться решить проучить мы сказать кто-нибудь пойти рота губа самый высокий стоит
40001	 второй день посадить губа выводной чурка новый год офицер смыться водка пить сиделец отпустить караул губа забыть снять он автомат смыться ближайший посёлок
36563	 володька прислонять ирина дерево нажимать тонкий девичий стан становиться впечатывать свой губа 
36563	 давать совет тип красить губа фиолетовый помада она 
36563	 ирина стирать губа модный тот время фиолетовый 
36563	 ложь видный она прятаться искорка глубина глаз растекаться губа 
36563	 снежана обнимать рука нога губа каждый сантиметр свой кожа 
36563	 однако чуть отрывать она земля почувствовать верхний губа лоб под шапка 
36563	 кресло прикидываться раковина стул цветок пуф капля мед или губа табуретка что 
36563	 вот премьера петушок театр малый бронная внешне непроницаемый только губа что-то нашептывать очевидно повторять 
36563	 закрывать глаз мочь ощупь скользить палец нос знать расстояние переносица бровь мочь гладить еле видный веснушка дотрагиваться твой губа даже когда где-то там 
36563	 чтобы только читать губа преподаватель хоть что-то 
36563	 нос щека глаз губа плечо коленка какой 
36563	 ассортимент бальзам помада который можно носить шнурок использовать мера необходимость для защита чувствительный кожа лицо шея губа мороз ветер солнце 
36563	 хитроумный дизайнер придумывать весьма удобный для горнолыжник упаковка крем для защита кожа лицо бальзам для губа один флакон 
36563	 тоже верхний губа еще проходить 
36563	 давать давать смеяться пацан мужской туалет губа толстый сейчас раскуривать когда огонь 
36563	 как звать еле слышно один губа спрашивать она 
36563	 думать что яблоко сказать рука липкий губа сладко только рот немного 
36563	 относиться лесбийский забава красотка можно как угодно нарочитый диатез приторность сюжет неизменно делать свой дело губа помимо воля расплываться улыбка 
36563	 упоминание смерть однако растрогать абдулка прослезиться неожиданно как похороны контуженый уметь понимать что говорить человек шевеление губа человек если забывать 
36563	 тот миг когда вставать усталость чтобы переводить дух алеша бесчувственный губа словить морозный жгучий воздух 
36563	 она два пальчик привычный пинцет убирать соломка припухлый губа данила проелозить задница 
36563	 выходить теперь муж жена засыпать прошлепать свой детски пухлый губа данила 
36563	 показывать данила секрет заветный место пахомка прикладывать губа кривой палец черный ноготь 
36563	 кривой усмешка шевельнуть усик губа виталия гордеевна она находить взгляд 
36563	 останавливаться перед этот желтый слабо мерцать завесь морок поле скирда истукан посередине глядеть запрудие где густеть невидимый небо откуда вместе морок непогода наплывать морок вечерний данила вдруг рухнуть колено прямо среди растолочь тропа снова свистящий шепот выталкивать мольба сквозь сводить холод губа господи 
36563	 еще что-то вышлепывать мокрый губа стараться сквозь пелена дождь 
36563	 это что едва разжимать губа отвечать марина ждать весна 
36563	 прятать письмо бросать беспокойный взгляд мать марфуша они сидеть рядом мать этот момент листать газета марфуша держать чашка губа задумчиво смотреть окно 
36563	 становиться дразнить она сомневаться что она соврать дурак выпаливать сонька кусать губа мочь потому что 
36563	 думать понимать протягивать как-то странно растягивать губа щуриться 
36563	 будто дед говорить мать что война когда объявлять самолет улетать сторона море снова сделать это странный движение губа отвертываться 
36563	 губа мой мать слетать какой-то неопределенный 
36563	 правда отличие литературный публика тетка что жаловаться ныть нести свой судьба как крест купавна ездить такси весь вопрос иметь высказывать собственный мнение преимущественно консервативный характер никогда лицемерить прямой подлость совершать патриотический демократический донос пресса писать лепить глаз правда матка уметь хорошенько поджимать губа преподавать математика дослуживаться 
36563	 хорошенький анечка дуться она дуться роса вымачивать кроссовка шерстяной носок комар артур карп колюня она ждать что снова начинать лебезить сам себя узнавать этакий плотный мужичок посконный рубаха пушок верхний губа 
36563	 студент пропадать карьер утро ночь облизывать пересыхать губа тереть тыльный сторона ладонь глаз 
