label	text
18002	 заяц плыть перебирать лапа подгребать ухо хвост 
14619	 мочь надевать какой попадать джинсы кое-как собирать волос хвост белье духи все 
40730	 это правильный подход когда один производитель делать кабина самолет другой заниматься хвост третий разрабатывать крыло говорить 
14619	 баба обреченно взмахивать рука подбирать волос под платок поди третий сутки нинка весь деньги изводить можно конечно догадка строить сорт танцевать знать местный нрав ропня город чужак все учуивать что-то полагать деревенский глаз синицын любознательность сельский пацаненок расспрашивать больничный обслуга как подпасок виляние коровий хвост узнавать быть скотина разбегаться 
18002	 упираться лапа собака дергать остервенеть вздрагивать ботинок вздрагивать она по-волчьи поджинать хвост 
12982	 где-то отдаление далеко хвост поезд идти война 
12982	 повсюду огромный очередь голова магазин хвост улица 
12982	 присоединяться хвост очередь двое или трое мужчина 
12982	 куда пойти вперед или хвост поезд 
18002	 двор уже заканчиваться футбольный матч команда синий лопух даже без знаменитый вратарь выигрывать счет двадцать семь ноль после что команда волчий лапа быть тут переименовывать заячий хвост 
14619	 вилять тяжелый полный шелковый волос хвост побежать лисица заяц бежать 
18002	 поглядеть еще раз внимательно сторона прямой след слепой елань травка окончательно повертываться сторона тропа обходить слепой елань правый сторона еще раз подниматься задний лапа увериться вильнуть хвост рысь побежать туда 
40730	 ожидание восход луна летчик подниматься крыло самолет увидеть отчетливый голубой сияние распространяться вода вокруг стойка подпирать крыло хвост самолет 
12982	 под этот стена два ряд лепиться многотысячный очередь хвост который находиться кудринская площадь 
18002	 публика ситцевый отделение повалить этот крик бегемот отходить кондитерский соблазн запускать лапа бочка надпись сельдь керченский отборный вытаскивать парочка селедка проглатывать они выплюнуть хвост 
18002	 ночь отрывать пушистый хвост бегемот сдирать 
12982	 неудобно если газета плестись хвост новый течение носить обидный 
18002	 умный собака только вилять пушистый хвост облизываться нетерпеливо взвизгивать 
18002	 тогда коварный чудовище чтоб показывать свой признак жизнь слегка пошевелить лапа хвост приподымать рыло испускать нечто 
18002	 ветер еще усиливаться грива хвост лошадь шинель василье край 
18002	 перегородка долго еще слышаться как продолжать бранить все все проклинать свой житие она швырять свой вещь драть ухо свой любимый кошка наконец дверь приотворяться она вылетать бросать хвост жалобно мяукать кошка 
18002	 дружка величавый неподвижность словно лев стоять широкозадый рысак волнистый хвост косматый лапа серый 
14619	 несмотря светлый цвет его волос усы его бровь быть черный признак порода человек так как черный грива черный хвост белый лошадь 
12982	 все небось строить догадка почему без мужик почему сей пора свивать гнездо снести яйцо откладывать человеческий личинка почему плестись хвост женский масса что она 
18002	 кремль бухнуть один перепончатый лапа придавливать гум другой василий блаженный хвост исторический музей хотеть башка размозжить 
0	 муж колхоз после процедура банкротство без всякий долг хвост 
14619	 ромка тогда быть еще неоперившийся слушак стоить окно рядом доцент женщина брюки мешковатый куртка длинный стягивать хвост светлый волос производить 
14619	 волос голова перехватывать красный резинка разлетаться два иссиня-черный хвост 
14619	 волос забирать плотный хвост костяшка наносить тонкий слой 
18002	 пес небольшой средний лайка ушко острый хвост загибать спина 
18002	 засовывать лапа аквариум ждать когда подплывать золотой роскошный хвост рыбка резко подсекать она 
12982	 причем массовый уже такой степень что начинать плестись хвост тот или иной идеология 
18002	 подсев задний лапа поджинать хвост она думать идти 
18002	 особенно этот шлем конский хвост 
12982	 хвост очередь автобус который ходить 
18002	 отдавать котенок добрый рука окрас светлый персиковый бежевый лапа хвост темный мордочка полоска темный 
40730	 хвост самолет лететь большой шумный 
12982	 тот майский день когда рейнальдо быть долго ехать троллейбус потом вставать хвост страшный километровый очередь который быть 
18002	 из-под задний лапа торчать конец его хвост 
12982	 каширский идти выход сторона хвост поезд 
14619	 теплый взглядывать девушка слава бог волос она короткий мелькать тетя пока окно интересно пролетать шлагбаум поезд лаять собака жучка старый книжка черный закручивать хвост лежать совсем еще белый снег 
18002	 она быть наверное год двадцать пять она быть вьющийся длинный густой темно белокурый волос собирать пушистый хвост спина молочный щека смущать 
14619	 худенький невысокий длинный волос хвост выглядеть как девочка который 
12982	 похватать полка намечать глеб хруст откусывать попка длинный багет вставать хвост первый очередь касса 
18002	 затем быть кондор вытянутый вперед клюв распластывать крыло лапа широкий хвост 
12982	 весь крупный универмаг наружу торчать унылый хвост очередь дефицит стиральный порошок 
18002	 фигура свернуться хищник изображать даже кончик лапа хвост такой степень стилизация доходить 
40730	 надеяться увидеть хотя кончик задирать вверх хвост попадать авария самолет 
14619	 онито все английский костюм такой продвигать платье единый рисунок весь платье стиль хокусать индейский коса качество прическа прямой пробор два длинный хвост над ухо 
18002	 нет покачать голова котенок великолепный пушистый хвост так-то 
12982	 прийти там бабушка уже очередь занимать первый бабка макрида всегда близко хвост оказываться давать два булка 
18002	 собака лаять вертеть хвост улыбаться высовывать язык как 
18002	 они вилять хвост улыбаться вертеть ухо 
18002	 итог все деталь выглядеть себя что-то иной звериный лапа цветочный бутон хвост дракон 
18002	 рано думать это она про настоящий разноцветный кошка говорить зеленый фиолетовый хвост красный лапа 
18002	 быть хвост леопард перерезывать горло острый раковина 
18002	 белый собака улечься нога замахать пушистый хвост разметать песок дорожка 
18002	 припарковывать машина подъезд входить дом собака завилять хвост заскулить 
0	 оживеть сдавать весь хвост потом весь экзамен 
18002	 она тихо входить ворота тихонько свистеть залаять старый пес который узнавать тут приветливо вилять хвост проходить через двор 
12982	 полагаться особый вагон салон первый класс который цепляться хвост поезд 
40730	 пойти товарищ генерал потом другой показывать улыбка отвечать тот поводить ираклий соломонович хвост самолет 
18002	 тот сторона сетка наружный мир пять обдирать уличный собака реагировать его жест одинаково скулить нетерпеливо подметать земля хвост 
40730	 вот сердцевина вдруг обнажаться чистый стальной цвет хвост истребитель 
18002	 однако развязка шореш свертывать направо после стекляшка макдоналдс налево въезжать поселок узкий длинный улица тут вечно бродить кот собака панически злобный витражный хвост декоративный петух даже павлин 
40730	 намыливаться смывать пена закинуть голова посмотреть синий синий небо оттенять сверкать алюминиевый бак вдоль который косо тянуться белый распушать конец хвост пролететь самолет 
40730	 самолет без хвост летать никто 
18002	 история бетя рассказывать при дениев артур становиться обижаться улыбаться сказать шутник что они язык вертеться как собака хвост 
40730	 разбрасывать обломок искореживать крыло согнутый лопасть винт подымать небо хвост 
18002	 собака приемная скулить поджимать хвост пытаться спрятаться свой 
12982	 только голова хвост поезд зачем-то быть прицеплять два 
18002	 как только она выпадать хороший карта она начинать вилять хвост 
40730	 при выполнение маневр кобра угол атака мочь достигать значение самолет отклоняться назад зритель складываться впечатление что лететь хвост вперед 
40730	 конфигурация воздухозаборник истребитель миг обеспечивать устойчивый работа двигатель при выход большой угол атака соответствующий полет хвост вперед 
14619	 особенно удивлять цвет его волос медный красноватый отлив волос завязывать хвост вид старец много 
18002	 уверенно отвечать фунтик вилять хвост белый кисточка торопиться 
40730	 правда если придерживаться точный хронология следовать сказать что первый публично поставлять самолет хвост другой наш замечательный летчик 
12982	 веселие наш быть полный разгар когда дверь распахиваться буфет входить рожков иван сергеевич директор институт геология организатор совещание соболев владимир степанович трофимов владимир сергеевич кто-то еще аксакал они плестись хвост группа чумак 
18002	 где ночевать лифт встречаться огромный собака неизвестный порода черный толстый морда сам коричневый гладкий сабля хвост 
18002	 сказать когда видеть бонь когда вилять хвост казаться что 
40730	 руль высота отклоняться вниз самолет задирать хвост начинать снижение 
18002	 закручивать бублик хвост собака бульдожий челюсть или перекус 
18002	 однако добрый лисица удовольствие идти контакт человек вилять хвост лизать рука охотно идти 
18002	 мася закупорка перианальный железо явление редкий кошка сопровождаться обычно вылизывание расчесывание анальный область боль при дефекация охота хвост воспаление околоанальный область облысение 
12982	 приписывать древний бард маг талиесин говориться мох обрастать вяз сила быть сдвигать корень плестись хвост пугать враг кряхтение скрип 
40730	 двигатель винт располагать хвост дирижабль 
40730	 легкий самолет построить великобритания двигатель закреплять традиционно внутри фюзеляж или крыло хвост это делать облик 
12982	 человек ярославль рад очередь стоять хвост можно надеяться покупка 
18002	 горшок алоэ декабрист чудо дерево неподвижный кошка ажурный стенной часы виднеться угол аквариум который всплывать пузырек гуппи полоскать обгрызать хвост репродукция незнакомка три богатырь 
12982	 мой изумление направлять хвост очередь 
18002	 как будто даже удивляться когда следующий выходной калитка сидеть крохотный существо тусклый мышиный цвет торчать лопатка тонкий неприличный для кошка хвост 
18002	 первый впечатление производить мурыська быть хороший внешность подкачивать после обоюдный обнюхивание кошка издавать брезгливый шипение недовольно дернуть тощий хвост 
12982	 аморал самый начало революция анархист передпочитать тащиться масса революционный народ плестись хвост политический событие чем создавать свой 
12982	 ограничиваться автомат щит давать круговой очередь надеяться отпугивать кануть темнота убийца занимать свой место хвост построение укрываться щит двинуться 
18002	 кошка сдыхать хвост облезть кто промолвить тот 
12982	 мой подготовка должный исчисляться месяц чтобы мочь хотя плестись хвост 
12982	 мой подготовка должный исчисляться месяц чтобы мочь хотя плестись хвост 
14619	 голова если завязывать хвост постоянно пушок отрастать волос 
18002	 год американка вирджиния дейл решать вывести новый цветовой вариация сиамский кошка отметина лапка ухо голова хвост цвет такой как 
18002	 быть еще редкий окрас пятнистый колор пойнт весь вышеперечисленный гамма мочь выглядеть следующий образ пятно более блеклый располагать лишь там где сиамский кошка быть темный отметина мордочка ушко лапка хвост глаз оцикет колор 
14619	 мама мой помница подсаживаться пить пивная дрожжи таблетка так она такой густой подшерсток попереть она когда волос хвост убирать она голова 
40730	 интроскоп начинать широко применять середина год век после многочисленный взрыв который устраивать борт самолет террорист рубеж причем ссср тут плестись хвост советский аэропорт интроскоп появляться 
40730	 вертолет сикорский быть одновинтовой маленький вспомогательный винт хвост сегодня этот принцип устраивать 
18002	 оказываться иной пушистый хвост широкий скула искать метро 
12982	 подходить например порт погрузка танкер диспетчер решать пропускать вперед или поставлять хвост очередь 
40730	 момент когда стартовать самолет гагарин борт воздух взмыть другой самолет машина гагарина попадать хвост его турбулентный поток 
40730	 предположительно дальность высота истребитель миг быть обнаруживать рлс защита хвост бомбардировщик экипаж который 
40730	 некоторый случай для улучшение обзор задний полусфера защита хвост ведущий ведомый пара вьетнамский истребитель 
14619	 еще хвост даже прическа нет никакой 
12982	 этот бюрократ главный образ погон щит меч когда-то стоять охранитель государственный пирог когда дело приходить раздача оказываться хвост очередь 
40730	 потому что заключение этот подтверждать версия журналистка второй пилот момент катастрофа находиться хвост самолет 
40730	 сделать эффектный лихой вираж под хвост самолет кортеж резко останавливаться перед 
40730	 тогда терять время лишний разговор два дюжий мужик летный форма быстро скручивать вася так давать пристегнуться пронести проход один свободный место хвост самолет 
40730	 следующий мгновение немецкий самолет уже уходить аэродром вдруг хвост пыхнуть один второй третий шар 
40730	 это быть именно тот вертолет который уже успевать привыкать последующий поколение один два ротор центр небольшой винт хвост 
12982	 если хвост очередь небольшой товар достаточно 
12982	 они образовывать очередь хвост который теряться где-то улица 
40730	 когда наконец доходить цель еще предстоять пересадка возмущать наш бестолковость таможенница направлять вместе наш картина красный очередь самый хвост самолет оставаться минута 
0	 экзамен быть сдавать без хвост молодой солдат снова вернуться 
40730	 вот сеть объяснять дядя жора указывать бредень валяться хвост самолет 
12982	 переулок выходить пушкинский указывать хвост длинный очередь вытягиваться вдоль дом 
14619	 разве только что волос она шикарный вороной тяжелый конский хвост схватывать фигурка общий 
12982	 пристраиваться хвост очередь который двигаться крайне медленно 
18002	 пес вздрагивать подаваться вперед пушистый хвост трава неуверенно дернуться 
40730	 услышать хлопок увидеть вспышка оранжево-желтый цвет хвост самолет после это почувствовать удар 
40730	 понимать что самолет отваливаться хвост 
40730	 через двадцать пять минута самолет касаться колесо серый бетон сильно затормаживать как будто задирать хвост варвара понимать что прилетать 
12982	 ветер жизнь гнать запад едва хвост поезд оставаться байкал как тоска 
18002	 минуть десять год совершенствование налоговый законодательство картинка как хвост вертеть собака 
12982	 неужели конец июль уезжать такой возможный верить город сказка вспоминать гудеть людской муравейник свой родной вокзал пристраиваться хвост очередь тот касса который согласно 
18002	 один бегать вилять хвост кусок тяпнуть какой небо 
18002	 они этот время вести себя беспокойно трясти хвост клюв ковырять анальный 
18002	 миролюбивый вилять хвост тузик повертываться сержант правый 
18002	 пока сержант водить рука нечесаный загривок картофельный пес застенчиво прикрывать глаз как делать это комнатный собачка вилять хвост 
18002	 драться помойка высоконогий свинья узнавать скворцов кинуться колено неистово вилять хвост повизгивать счастие 
18002	 волк ложиться брюхо подползать вилять хвост человек 
18002	 видимо воспринимать физический прибор как живой тело казаться естественный взглядывать кошка увидеть глаз хвост ухо коготь прощупывать биение сердце 
18002	 пнуть стариковский нога ход досада леопард прыгнуть через порог поджинать хвост змея шмыгнуть вон палуба 
18002	 собака хвост между нога зажимать смотреть 
18002	 посмотреть собака брюхо собака вываляться хвост ком глина налипать 
18002	 входить кот подземелье хвост поджинать 
18002	 прибегать белка мохнатка притаскивать кулек каленый орех вылезать отдушник чучело чумичело прискакивать лягушка квакушка два задний лапка выползать червячок ямка являться сам волчий хвост улыбаться 
18002	 жучка очень хотеться подходить она вилять хвост решаться 
18002	 несколько белый шавка подниматься сено подбегать вилять хвост длиннобородый старый козел неудовольствие 
18002	 пес так лежать доверчивый брюхо кверху выжидательно посматривать прохожий из-под мохнатый ухо приниматься весело крутить хвост профессиональный вымогатель 
18002	 хватать штанина хозяин такса собака вилять хвост брысь 
18002	 выныривать из-под рука сопливый шкет свой такса собака вилять хвост отставать говорить ход 
12982	 заводчанин свобода всегда вставать хвост колонна путиловский кировский завод 
18002	 сегодня местный экономика расти быстро чем китайский всего несколько год здесь вылупливаться третий мощность автокластер страна сюда потянуться кадр даже москва акула мировой бизнес ответ слово приветливо вилять хвост 
18002	 быть верный пес алексей андреевич аракчеев больно хвост вилять становиться раздражать павел 
18002	 прекрасно характеризовать страдалец польский психиатр антони кемпински ситуация напоминать собака грызть свой хвост 
18002	 щекотно улыбаться волк едва заметно вилять хвост елеазар пукнуть тихо просить мальчик 
18002	 можно узнавать например что довольный собака вилять хвост направо недовольный налево 
12982	 или мой хвост похожий розовый шнурок как 
18002	 тогда казаться что спина вытягиваться полоска который стекать пушистый хвост 
18002	 внешне они похожий небольшой белок из-за свой сильно пушистый хвост 
18002	 правый лапа орел скипетр левый держава хвост перо 
18002	 вот сейчас под стул сидеть один котенок пытаться передний лапа ухватывать дуська кончик хвост 
18002	 создавать себя виртуальный существо рожок длинный ухо голубой тельце фиолетовый кисточка хвост 
18002	 понадобиться некоторый время пока она выделяться лапа хвост тело 
18002	 они как раз вытаскивать хвост когда просыпаться 
18002	 серый гордо помахивать пушистый хвост мол ага болеть целый куча 
18002	 полянка перед дом специфически независимый манера задирать пушистый хвост торопиться пересекать скунс логически 
18002	 вершина один скала северный обрывистый берег вади махтандуш обнаруживать двухметровый гравюра танцующий задний лапа существо глубоко посадить глаз острый ухо хвост полоска шерсть вдоль хребет 
18002	 бес прокрадываться мимо пес тот страх хвост увязать задний лапа 
18002	 даже рыба говорить начинать вилять хвост если она жабра взять 
12982	 наконец предел солнечный система двигаться комета хвост который создавать впечатляющий эффект звездный 
18002	 гордо помахивать пушистый хвост она выходить кухня 
18002	 тот неожиданность отшатываться так неудачно что наступать мой любимица прямо пушистый хвост 
18002	 переминаться заносить лапа осаживаться хвост решаться прыжок 
18002	 думать если жопа красивый перед она все быть хвост вертеть 
18002	 ворота вилять хвост встречать лохматый собака 
18002	 демон растекаться свой хозяин свешивать спина крысиный хвост 
12982	 чтобы плестись хвост мировой сообщество быть полноправный участник 
18002	 чувствовать себя как собака который пытаться поймать свой хвост повышать пенсия через 
18002	 суть кошка хвост рубить часть 
18002	 собачка зевнуть увидеть свой хозяйка радостно залаять вилять хвост 
18002	 двор просторный курица метаться пес будка приветливо тявкнуть хвост завилять знать дедушка 
18002	 пример фильм хвост вилять собака реж 
18002	 вылезать палатка чарли разбегаться вилять хвост приветственный поскуливать 
12982	 занимать мужской набор первый место женский идеал стоять где-то хвост 
18002	 каждый лужа собака ухо хвост 
18002	 изо рот пар валить лапа дрожать хвост тоже 
12982	 плестись хвост португалия стыдобушка доктрина коммунизм 
12982	 понятно что опережать райков явлинский лишать партия возможность продемонстрировать свой забота трудовой народ нельзя плестись хвост яблоко 
40730	 быть устанавливать что один причина потеря наш летчик являться возможность беспрепятственный заход сейбров помощь бортовой радиоприцел хвост миг 
18002	 фильм хвост вилять собака описывать ситуация как 
12982	 плестись хвост событие импульсивный реагировать вызов 
18002	 колючий друг вот поджимать время садиться себя хвост что сказать 
18002	 это все равный что рубить собака хвост кусок 
18002	 клубок старый шерсть порастать узелок хвост завязка мягко кататься под нога 
18002	 светлый по-бабьи завязнуть хвост мотаться спина 
18002	 хлопать себя бок будто обыскивать озираться точно ловить свой хвост 
18002	 чувствовать некоторый артистический удовлетворение оттого что волна хохот усиливаться когда дергать ручка вздымать хвост лошадь 
18002	 рука сын совать бутылка молоко соска шокинг хвост селедка 
18002	 мать крыса утягивать себя хвост пробежать угол становиться 
18002	 из-под кровать почти полкомнаты царский хвост кот быть капризный причудливый 
18002	 здравствовать медвежонок прохрипеть волк подстилать под себя хвост усаживаться порог медвежачий 
18002	 этот время волк просыпаться подумать вот спать мочь напасть сзади повертываться елка хвост спать спрашивать медвежонок 
18002	 крыло чиж черный полоса нижний часть брюшко спина хвост испещрять темный полоска клюв небольшой 
18002	 найда обычно лежать крыльцо приветливо постукивать хвост каждый прохожий 
18002	 веер вспомнить так называть охотник беличий хвост белка спрыгивать земля 
18002	 если пытаться подходить она удирать вытягивать свой длинный красивый хвост 
18002	 пока возиться кукла несколько раз хлестануть кончик хвост 
18002	 библиотека сидеть жанна болтать читатель столик всегда быть хвост она замечать испугаться 
18002	 любой рыба есть все хоть жабра хоть хвост глаз есть когда они 
18002	 тогда пусть называться тамара прораб удаляться собака улыбаться вслед повилять хвост она быстро устанавливать хороший отношение 
18002	 травка замахать хвост становиться снижаться нога все 
18002	 тогда они садиться дверь терпеливо ждать помахивать хвост 
18002	 длинный цепь верблюд связывать между себя морда хвост словно нанизывать нитка забавный 
18002	 полнокровный уже два раз удар быть танцевать трудно как говориться попадать стая лаять лаять хвост вилять 
18002	 тот пора собака доверять человек который хотеть она приласкать поджинать хвост убегать иногда злоба 
18002	 собака только поджинать хвост задумчиво отбегать сторона 
18002	 иван иваныч буркин останавливаться раздумье собака уже мокрый стоять поджинать хвост смотреть они 
18002	 известно пес другой раз созорничать захотеть зуб норовить хвост поймать лебедь 
18002	 какой-нибудь мохнатый жучка прикорнуть перед заря сухой куча навоз лениво потягиваться помахивать хвост мелкий рысца отправляться другой 
18002	 хитрый собачонка поджинать хвост съеживаться вдвое выходить тихо 
18002	 волчонок лисенок бешено крутиться пытаться ухватывать себя хвост 
18002	 теперь чувствовать себя побивать шелудивый пес который попытаться сжирать хозяйский пайка что получать хвост 
18002	 посыльный радостно оскаливаться они навстречу слюнявый пасть приветственный вывалить язык радостно помахивать хвост 
18002	 выпускать хариус воля они махнуть прощание хвост река плыть белый рыбка 
18002	 тот благодарно крутнуть хвост аккуратно как башка соболь взять 
18002	 приходиться видеть кот как пришивать хвост 
18002	 сам белый гладенький хвост полосатый труба явно пересаживать 
18002	 тимур подниматься диван заметно шататься тяжело подходить она ход доставать карман халат деревянный птичка открывать при нажатие хвост клюв издавать пронзительный чириканье 
18002	 доставать золотой жар-птица рубиновый глаз изумрудный хвост 
18002	 как стая главное подстреливать вожак остальной разбегаться поджинать хвост 
18002	 приниматься решение через люк хвост шахта пробираться прибор 
18002	 вместо хвост время свой ритуал они 
18002	 роскошный хвост ласт задний лапа 
18002	 сей пора перед глаз между елка два три метр волк лететь высота мой глаз ухо прижимать передний лапа вытягивать линия туловище вперед так назад задний лапа пушистый хвост выпрямлять линия спина 
18002	 сучка несколько раз вопросительно покосить глаз чангола почти дружелюбный вильнуть хвост повертываться набок выставлять напоказ 
18002	 однажды когда павел выходить двор куст появляться лохматый дворняга приветливо помахивать хвост подбегать 
18002	 этот деталь становиться змея изгиб она тело упираться хвост конь третий точка опора 
18002	 восстанавливаться как хвост ящерица бунин улыбаться 
18002	 фунтик приветливо вильнуть хвост преданно посмотреть тетя 
18002	 вернуться никуда деваться помотаться помыкаться приползать поджинать хвост как она посметь взять этот 
18002	 григорьев олег хазин михаил укусить змея свой хвост тенденция прогноз динамика российский 
18002	 папа плавно брать ручка управление себя хвост отрываться земля выравниваться 
18002	 спаниель понюхать даваться почесать ухо заматывать хвост понюхать дохнуть 
18002	 такой ситуация основной нагрузка брать себя хвост 
18002	 размер она примерно скворец тело казаться более стройный вытянутый из-за острый клюв спица узкий длинный перо конец хвост 
18002	 хватать один ухо половина хвост изрядный кусок нос 
18002	 велеть хорошо спрятать телевизионный аппаратура камера сидеть поджинать хвост высовываться 
