label	text
17916	 утица испытывать огромный нагрузка поэтому чтобы они отрывать струна утица надо крепко приклеивать дека для прочность закреплять винт саморез 
39939	 при это мощность развивать двигатель число оборот винт изменяться 
39939	 двигатель мощность течение мина вращать лопасть винт внутри калориметр который находиться 
39939	 вследствие трение вода лопасть винт вода нагреваться 
17916	 если этот кольцо прикрывать металлический защитный шайба толщина рис закреплять винт или 
39939	 красноперов заглядывать иллюминатор лопасть винт образовывать мерцать круг трава пригибаться 
16398	 зато игра коммерческий преферанс винт играть превосходно смело находчивый 
16398	 говорить что знать этот игра что вообще признавать азарт даже шутка что любить сравнительно хорошо играть только винт 
16398	 четыре человек играть винт играть лето зима весна 
39939	 так штат калифорния среднее столкновение лопасть ветрогенсратор гибнуть один хищный птица месяц это при что там сей пора устанавливать генератор малый диаметр винт высокий частота вращение 
39939	 новый мускулатура уже закручиваться экспериментальный микромиксер длина лопасть раз большой диаметр волокно масса винт превышать масса мускул 
39939	 количество лопасть несущий винт рулевой 
39939	 проект носить название построить одновинтовой схема шарнирный крепление лопасть несущий винт 
39939	 даже обычный пассажирский самолет летать очень быстро лопасть вертолетный винт при вращение достигать почти скорость 
39939	 кстати совмещать центр масса центр жесткость аэродинамический фокус точка где прикладывать равнодействующий аэродинамический сила удаваться лопасть вертолетный винт они никогда испытывать 
39939	 когда челюскин входить чукотский море состояние его корпус быть весьма плачевный большинство шпангоут повреждать или лопнуть многий заклепка шов срезать лед один лопасть винт отламывать что еще более снижать 
39939	 разбрасывать обломок искореживать крыло согнутый лопасть винт подымать небо хвост 
39939	 глиссер принимать называть быстроходный маломерный судно воздушный тяга движущий сила являться обычный гребной винт вода лопасть авиамотор 
39939	 земля внутри аэродромный ограждение находить след лопасть винт метр семьдесят примерно самолет ковырять 
39939	 тот период вместо деревянный винт начинать использовать лопасть алюминиевый 
39939	 рыжий рабочий лошадка раскидывать ухо как лопасть винт вертолет послушно трогать 
39939	 миля устанавливать лопасть нести рулевой винт цельноклееный конструкция 
17916	 звено соединять друг друг обрезка стальной труба длина закреплять распорный винт 
17916	 стакан закреплять горловина бак винт дно сделать дырчатый 
16398	 пожалуйста винт переставать играть ведь 
32507	 контора народ оживленно обмениваться рецепт изготовление спиртное домашний условие сведение где давать водка без талон обмен только бутылка винт где талон 
39939	 лопасть обвисать винт колено падать капля 
39939	 сам жить дом мой окно выходить технический палисад секретный завод рассвет где взрывной метод отливать титан лопасть авиационный турбина винт атомный подлодка 
39939	 игорь иванович изобретать другой важный новинка устройство позволять менять угол наклон лопасть винт при его вращение что обеспечивать 
39939	 самый главный мой взгляд реальный вероятность схлестывание лопасть верхний нижний винт как следствие неминуемый катастрофа 
39939	 дело что конец лопасть винт мчаться навстречу друг друг 
16398	 кто-то считать что автор достигать прямо-таки толстовский высота сила кто-то обвинять произведение невысокий качество недоумевать настоящий драма меж герой мочь быть речь попытка нагружать они социальный значение производить комический впечатление посмотреть кто этот человек лаевский пить пиво играть винт сожительница его поминутно падать 
17916	 говорить этот час нельзя подделывать механизм заключать корпус при помощь особый винт закреплять некий секретный инструмент 
16398	 дома играть винт бородатый мужик молодой мой два 
32507	 бутылка выпивать прямо горло винт потом немного подумать 
32507	 бутылка водка московский винт давно забывать зеленый наклейка 
32507	 перебирать потом кухня реликтовый продукт пускать слюнки икра краб сервелат столичный водка винт 
17916	 гелевый ручка который купить возле метро без усилие вставать паз закреплять она винт 
32507	 пусть быть самый хороший водка хороший винт 
32507	 разумеется она тут опорожнять горло винт 
16398	 пожилой играть сад винт преферанс 
16398	 карта любить играть только винт 
17916	 раскрывать находиться тут футляр лукин вытаскивать привинчивать казенный часть ружье толстый заканчиваться упор стержень навернуть дуло круглый коробка глушитель закреплять винт оптический прицел 
32507	 когда входить кабинет стол стоять бутылка столичный между прочее винт там примерно еще треть быть 
16398	 это вместо чтобы безмятежно играть винт 
16398	 едва каждый вечер они играть винт больший часть николай степанович 
32507	 стиляга при это расставлять каменный спина стопка открывать извлекать из-под подушка бутылка столичный винт резать финский колбаса 
16398	 кто-нибудь обед вдруг сие оскорблять все неожиданный осуждение старый порядок обычай дама держать свора собачка вечер играть винт полицмейстер никто 
17916	 там чертовый бабушка третий остров упрямый трескоед находить охотничий избушка избушка кусок стальной проволока заменять шпонка расклепывать она какой-то чудо закреплять винт свой ход вернуться 
17916	 выглядеть добровольный испытатель странно грудь его быть закреплять винт размер добрый тарелка 
17916	 предварительно закреплять она данный расстояние винт ножницы перемещать такой образ чтобы 
17916	 корпус редуктор помощь клей два винт крепиться переходник закреплять 
17916	 приставка можно закреплять винт под любой угол 
17916	 центр мембрана при помощь гайка закреплять шточка иметь сквозной отверстие который находиться регулировать винт соприкасаться гайка конусный клапан 
17916	 вставлять пластина через прорезь крышка закреплять они винт 
17916	 состоять два алюминиевый щека толщина четыре накладка плексиглас толщина вкладыш пенопласт устанавливать между щека закреплять винт головка 
17916	 устанавливать верхний шептать спусковой крючок плата закреплять винт после что соединять нижний шептать 
17916	 пропускать валик через соответствующий отверстие плата надевать внутренний сторона предохранитель закреплять винт полукруглый головка 
17916	 устанавливать флажок предохранитель закреплять винт 
17916	 она крепиться ствол помощь два винт 
17916	 там проток полно лодка большой маленький хозяин подлетать какой-то лезть она чуть вывертываться падать корма успевать момент падение попадать зажим мотор кормовой доска закреплять мотор откидываться упираться нога дергать мотор жужжать дымить корма бурлить лодка лезть берег хозяин яростно довольный стукать мотор морда кулак потом глушить дергать опять кипение винт опять стукать потом 
17916	 шептала два винт закреплять пластинчатый пружина поддерживать 
16398	 после обед четверг французский михайловский театр суббота цирк воскресение балет остальной день шувалов или барятинский партия винт 
16398	 собираться поочередно друг друг вечер играть винт умеренно пить много петь 
16398	 винт играть только интеллигенция преобладать преферанс 
16398	 однажды вечер лев николаевич приходить чтобы играть папа винт оказываться что хватать 
16398	 дома воскресение играть херсонский вист преферанс классический винт отец мать марья павловна 
16398	 быть тот время радио кино публичный лекция путь россия сейчас все это быть играть бридж презренный искажение старый благородный винт 
16398	 передняя культура пыльный играть преферанс винт прикупка гвоздь 
16398	 винт играть полный вздох сказать таня 
16398	 главнокомандующий деникин каждый пятница вечер играть винт екатерина алексеевна квашнина свой 
16398	 давно уже бросать играть пятница винт быть слабый как все 
17916	 надумывать подтаскивать самолет ледяной ропак закреплять амортизатор ледяной глыба так добиваться сильный натяжка амортизатор быстрота проворачивание винт 
16398	 присылать депеша что конница красный тыл язвить душа расшифровка откладывать утро винт садиться играть 
16398	 как поехать штаб крапчиков сукин кот винт посадить играть малый червы 
16398	 лопасть винт закреплять неподвижно угол атака 
16398	 клуб играть винт исключительно чиновник тут-то 
16398	 прекрасно играть винт преферанс интересоваться спорт изучать 
16398	 среда кроме летний месяц собираться играть винт 
16398	 садиться играть карта винт число присутствующий быть местный 
16398	 заслуживать город слава азартный игрок винт самгин вспомнить как 
16398	 один помощник который приходить играть винт отвечать его приглашение сухой 
16398	 поблагодарить теперь играть только преферанс винт маленький 
16398	 дама интересоваться граф расспрашивать про его наружность господин играть винт седобородый они беседовать про изобретать 
17916	 такой случай страгивать гайка отсоединять щит тормозной цилиндр отворачивать два винт ключ 
16398	 каждый хитрый кровосос как известно быть свой космический справедливость винт 
39939	 высокий горизонтальный скорость обеспечивать толкать воздушный винт совершенный аэродинамический форма фюзеляж 
39939	 самолет размах крыло полтора два метр вертолет диаметр несущий винт всего-то метр занимать довольно 
17916	 свет мощный лампа бить сквозь пленка через система линза действительно увеличивать негатив размер будущий фотография при помощь массивный винт лампа мочь подниматься опускаться 
17916	 помощь винт зажимать султан подвижный боковой 
16398	 хотеть какой отец владимир говорить они леня который тоже быть так простой хотеть снова винт только сказать это 
17916	 если зеркало крепиться винт через предварительно просверливать отверстие 
17916	 случай если усилие ручка возрастать отходы идти плохо винт необходимо выворачивать отверстие прочищать 
39939	 вертолет выполнять одновинтовой схема рулевой винт один газотурбинный двигатель лыжный 
39939	 при задействование система борт выполняться ряд последовательный операция отстрел лопасть несущий винт открытие створка кабина срабатывание вытягивать 
17916	 натяжение горизонтальный нож усилие осуществляться винт через сферический упор 
17916	 гибкий она должный быть длинный любой сторона рамка состоять два металлический пластина толщина скреплять винт 
17916	 исправность барашковый гайка болт крепить крышка автоклав конечный выключатель ограничивать ход винт автоклав иметь механизм открывание 
17916	 крепить панель можно помощь клепка винт клей качество первичный 
16398	 так май июнь быть играть каждый день поворот винт бенджамин бриттен постановка люк 
17916	 сначала ослаблять винт муфта помощь крестообразный 
16398	 босс неожиданно протаскивать перед себя утрачивать способность сопротивляться парень оказываться рядом лежать винт что быть сила врезать 
39939	 при удар опора несущий винт пять цельнометаллический лопасть отрываться 
16398	 знать что каждый хитрый оборона быть нападение винт 
