13130	Недавно молекулярные биологи из Мельбурнского королевского технологического института обнаружили у химеры так называется группа хрящевых рыб родственных акулам и скат   целую группу генов 
13130	Среди них  такие яркие и экзотические виды как ошейниковые белогалстучники помацентровые рыбы рыбы-попугаи рыбы-бабочки скат хвостоколы  
1	Он быстро поменял колесо бросил спущенный скат в багажник  
23838	А мне вот что лезет в голову Нельзя ли здесь устроить кафешку У Карлсона или вон там около трассы нацепить на крутой скат рекламную растяжку  
13130	Как и у акул у скат хрящевой скелет  
13130	Когда скат дышит вода набирается в рот 
13130	В Красном море обитают еще скат орляки электрические 
13130	Я почти видел огни рыб проносящихся за толстыми стёклами иллюминаторов оскаленную пасть рыбы-дьявола полёт гигантского скат и кошмарного адского вампира  
23838	Резко пересеченный скальный рельеф большое количество ущелий трещин расселин на крутых скат затрудняют визуальное наблюдение  
23838	На более-менее крутых скат противник мин не ставит или 
23838	При ведении партизанской и контпартизанской войны в горно-лесистой местности мины ставят очень густо и свои и чужие в самых непредсказуемых местах особенно на скрытых подступах кроме очень крутых скат  
13130	Есть в городке и хороший океанариум где вначале можно полюбоваться на разнообразных рыб  от простых окуньков до скат и угрей  
0	Я им был нужен для игры в скат разновидность преферанса  
13130	В начале зимы рыба например щука окунь избегает течения и ее надо искать в ямах на глубоких тихих местах в районе скат в местах впадения в водоемы 
23838	Передвижения по узким тропинкам над обрывами и по крутым скат колоссально развивают вестибулярный аппарат что 
23838	На крутом скат автомат катится куда-то вниз  с 
13130	Нагромождение из нескольких больших островов заросших водорослями стаи рыб  Попадаются скат камбалы заходят пеленгасы  Рапаны сидят 
13130	В бесчисленных подводных гротах и разломах скал живут кораллы скат удивленные разноцветные рыбы и прочие 
13130	Кроме барракуд и акул мелькают в толще воды страшные с виду но безобидные скат манты размером с лодку  
13130	Под скат берегов и шевелилась черная лента 
13130	Конечно же в начале начал  гуппи и меченосцы облаченные словно в пеньюар золотые рыбки с розовыми  с детское блюдечко  глазами и только потом морские миноги паразитирующие присасывающиеся к жертве и раздирающие языком утыканным зубами ее плоть в клочья наслаждающиеся вкусом и запахом свежей крови хотя запахом  нет и беспомощными конвульсиями только потом акулы со злоглядящими желтыми глазами и сам Мировой океан где каждое движение  беззвучно где нет криков охов и стенаний где нет вообще никакого звука связанного со всяким наземным проявлением жизни или скат парящие словно орлы    
13130	Невероятное количество самых разнообразных рыб и среди них скат песчаные акулы которые впрочем на 
13130	Впечатление когда ты под водой в маске смотришь на этих огромных скат акул проплывающих рядом или у 
1	Он был смонтирован в виде своеобразной мельницы и представлял собой соединение площадок лестниц скат вращающихся дверей и вращающихся колес 
23838	сползание расслаивание полотнищ рулонных материалов на основных поверхностях скат кровли вследствие размягчения кровельной мастики 
23838	щели неплотности вследствие нарушения правил и типовых решений устройства мест сопряжений кровли со стенами парапетами бортами фонарей трубами и другими выступающими над кровлей конструкциями отсутствия зажимных хомутов или компенсаторов в месте соединения водоотводящего патрубка и стояка негерметичного соединения водоприемной чаши и поддона воронки внутреннего водостока недостаточной величины продольных или поперечных нахлесток напусков полотнищ рулонной кровли на свес сползания асбестоцементных листов по скат либо соскока  трубчатых нащельников с 
13130	Вот еще одно милое создание природы  морские скат  
13130	Так подвергая себя смертельной опасности мы победили морского дьявола  заканчивает свой рассказ об охоте на скат в южной части Средиземного моря 
13130	Больного страдающего ревматизмом и другими болезнями сажали на вытащенного из моря электрического скат  
13130	Море народа полонило аэродром каким-то чудом оставив свободной сравнительно неширокую полосу поля  самолет должен был притереть свои могучие скат здесь  
1	Скажем в автомобильном дифференциале на валах конических колес посажены скат машины  
