33648	В приведённом примере описания у конструкторского понятия сборочная единица раздел Состав присутствует а у обозначающих детали понятий корпус втулка вал раздел Состав пуст  
33648	Примерами не указанных в описании параметров могут быть скорость вращения вал приспособление для сборки применяемая смазка 
33648	Внешнему параметру   из понятия размерная  цепь соответствует Базовая  длина из вал в описании конструкторского понятия сборочная 
33648	В примере понятия сборочная  единица Корпус Втулка вал отражают конструкторские представления о свойствах 
33648	Принципиальные схемы этих типов как частные случаи охватываются схемой приведённой на рисунке где жирными линиями изображены основные стенки двигателя и вал соединяющие роторы осевых компрессоров и 
1	Одного взгляда на сам музей напоминающий русский терем украшенный традиционной рязанской домовой резьбой на зимнюю галерею музея похожую на деревянный крепостной вал славянского кремля достаточно чтобы понять 
0	Капитан-шеф-повар побежал было на нос чтобы увести Эле-Фантика Но как раз в этот миг налетел девятый вал и подстегиваемый ураганом рухнул как 
0	Смытый девятым вал Эле-Фантик пристроился в кильватере шхуны 
41024	В квартиру одной из жительниц столицы на Земляном вал позвонила некая женщина и назвала 
1	Но далеко не уехали скоро наткнулись на вал и ров посреди улицы  
0	А в длинном узком фойе висели картины самого что ни на есть мирного штатского содержания Грачи прилетели Девятый вал Аленушка Мишки на лесозаготовках за 
33648	Шатуны крепятся на вал специальными клиньями  путём затяжки 
41024	Это и был склеп Теодорика действительно окружённый земляным вал поросшим кустами ещё не проснувшихся 
41024	Ходить в забой было далеко  два-три километра и путь лежал посреди двух огромных трехсаженных снежных вал нынешней зимой были большие снежные 
41024	Нынешней ночью Андреев вёл нас новой дорогой  не низом а прямо по хребту снежного вал  
41024	Так например один горожанин как мне рассказывали получив трехкомнатную квартиру на Земляном вал без всякого пятого измерения и 
41024	Он уже собирался произвести последний и самый блистательный вольт поместив в газете объявление что меняет шесть комнат в разных районах Москвы на одну пятикомнатную квартиру на Земляном вал как его деятельность по не 
41024	А раньше все хоронились в уюте земляных вал и деревянных стен когда татары 
41024	Карл Берген ведал работами на Иван-озере  вал земляным его огораживал чтобы воду 
41024	Следует только на Иван-озере подсыпать прошлогодний земляной вал ещё на сажень чтобы собирать 
1	Неопределённые и мистические как страх смерти парализующий волю и мысль как животный порыв полового чувства бешено разрушающий крепостные вал обыденной морали  
