1	 действительно весь стилистика всевозможный художественный средство язык частность такой локальный средство тропа метафора метонимия гипербола т п 
0	 еще один комментарий ипатий посвящать сочинение диофант геометрия следовать аполлоний пергский написать работа конический сечение оттуда приходить математика гипербола парабола эллипс 
0	 рассматривать набор точка который удовлетворять равенство формула это быть кривой второй порядок эллипс парабола гипербола зависимость значение коэффициент 
1	 восприятие облегчаться повторение малый семантический сдвиг блаженный бессмысленный метафора бархат пустота ночь метонимия советский ночь гипербола всемирный однообразный синекдоха око рука 
1	 исторический сочинение любой литературный жанр должный быть соответствовать определенный правило прием изложение общелитературный например использование троп гипербола метафора проч 
1	 наконец быть обязательный употребление риторический троп фигура метафора гипербола риторический вопрос патетический восклицание антитеза 
1	 возлюбленная это весь мир система знак указывать она система метафора символ аллюзия гипербола энциклопедия поэтический образ антология ее 
0	 сто пятьдесят год ученый смочь вывести математический формула его знаменитый архитектурный парабола гипербола 
1	 выражение свой любовь живаго автор кажется хватать эпитет гипербола метафора 
0	 божественный начало это кривой гипербола парабола спираль 
1	 мэтр быть человек артистичный лукавый склонный гипербола мистификация 
1	 их политический мистика быть метафора их социальный эсхатология быть гипербола помощь метафора 
0	 один реакция иметь второй порядок сторона изохрона криволинейный точно описываться кривой второй порядок эллипс гипербола коэффициент корреляция низко 
1	 усложнять гипербола метафора мартынов давать возможность 
1	 художественный композиция такой географо туристический контекст гипербола метафора 
0	 думать лобачевский сначала иметь воображение быть почти технический термин воображать геометрия лобачевский другой искривлять пространство тип скажем гипербола потом он построить 
1	 это вы метафора это вы она гипербола 
1	 сообщать описание казаться он тот ночь необычайно выразительный угнетать подробность скука метафора слишком метафоричный гипербола чересчур гиперболизировать сравнение 
1	 ирония метафора литота мейозис гипербола весь это прием порождение 
1	 надеяться варварски купировать стих изрезывать метафора гипербола я давать возможность рост новый 
1	 канон мелодрама месть здесь полагаться зловещий сгущение метафора гипербола 
0	 наш маленький роман иметь шанс продолжение он должный развиваться гипербола парабола 
0	 гипербола тогда восходить ветвь устремляться вверх 
0	 далее десять лист оба сторона следовать уравнение таблица график парабола гипербола чуть метафора 
0	 это гипербола возрастание количество отход 
1	 лида жена любить гипербола он никто обижаться 
1	 этот картина по-новому ярко волнующий рассказывать один важный период жизнь гениальный поэт украина его детство юношество год формирование характер мировоззрение поэт она созвучный поэма тарас шевченко сон называть поэт комедия так как она вскрываться обличаться средство острый сатира ирония гипербола феодальный крепостной монархия царь крепостник 
0	 мы лететь луна прямая гипербола кривой 
0	 небесный тело доказывать кеплер двигаться фигура конический сечение круг эллипс парабола гипербола 
1	 вероятно он впрямь хотеться блеснуть реальный обоснованность свой гипербола аллегория 
1	 отсюда обилие этот сказ троп фигура подводить рубрика гипербола ирония неожиданный 
0	 доктор строить нос калабухов угрожающий сфера пронзать эллипсис гипербола парабола доктор жестикулировать 
0	 интеграл выражать произвольный часть поверхность параболоид оказываться проекция этот часть поверхность параболоид плоскость перпендикулярный его ось быть прямолинейный многоугольник получать квадратура выражаться логарифмический круговой функция проекция тот плоскость выходить эллипс гипербола квадратура выражаться эллиптический функция 
1	 толщина он можно быть сравнивать гипербола голос ирония 
1	 досада мой невнимательность весь прочий избыток вознаграждаться ее внимание я напрасно метать бисер отборный метафора синекдоха гипербола 
1	 почитать также полезный говорить ирония гипербола думать осмеяние 
1	 новый наш спутник восхищение находить случай познакомиться российский поверенный дело начинать отпускать ужасный нелепица гипербола европа который моралист вечно 
1	 один слово любезный друг здесь торжествовать искусство высокий степень совершенство все вместе производить зритель чувство который всякий гипербола можно называть восхищение 
