label	text
0	 даже традиционный трельяж претерпевать определенный изменение мочь теперь принимать самый необычный форма зонтик лира или арфа воздушный шарик 
34938	 например мексиканский песо бразильский реал южноафриканский ранд турецкий лира начало год потерять 
34938	 например бразильский реал мексиканский песо турецкий лира южноафриканский ранд начало 
34938	 например мексиканский песо турецкий лира южноафриканский ранд начало 
34938	 например турецкий лира южноафриканский ранд мексиканский песо 
0	 обучаться вначале настоятельный требование воспитатель становиться затем наигрывать для собственный удовольствие арфа быть как орфеев лира как раскрывать настежь весь струна 
34938	 основной импортер являться турецкий компания девальвация турецкий лира продолжаться тот время как 
0	 тот излюбленный дом поминать прошлый номер журнал еще так сказать лира остыть струна дрожать 
0	 народ ликовать красивый девушка слагать гимн воин бряцать струна лира 
0	 стягивать новый лад недавно струна все запевать алцид труд лира звон мой петь один любовь 
34938	 расплачиваться покупка чувствовать себя богач турецкий лира столько ноль что глаз 
34938	 подобный схема девальвация для оживление внутренний промышленность помнить быть предпринимать год тогда итальянский лира решение государство быть девальвировать 
34938	 выпуск номинировать доллар сша марка фрг итальянский лира общий сложность составлять 
34938	 это уже только прекрасно оснащать студия звукозапись оборот миллион лира год 
34938	 первый день миллион добровольческий давать одиннадцать турецкий лира 
34938	 выдача денежный довольствие возобновляться когда генерал кутепов январь наступать присылать турецкий лира отвечать что отказываться они 
34938	 сделать такой образ крест быть весьма немного как писать далеко пашков далеко весь галлиполиец лагерь они носить так как они надо быть покупать получать всего один турецкий лира месяц всякий быть 
34938	 при актер сразу становиться поводырь нянька собеседник философский тема учитель язык обычай география немного математика сколько миллион турецкий лира содержаться один доллар 
0	 луна занимать небосвод обхватить мой струна лира 
0	 большой фонтан венчать бронзовый скульптура аполлон играть водяной струна золотой лира 
34938	 тот получаться миллион итальянский лира это вызывать шумный восторг 
0	 державин петров конечно что герой песнь бряцать струна громозвучный лира гоголь наш гомер мертвый душа 
34938	 зря здесь деньги менять сказать наталья ивановна увидеть свой помощник пачка турецкий лира рука 
34938	 немалый труд отсчитывать водитель пять миллион лира что доставлять 
34938	 зато надпись другой табличка гласить вход три миллион лира 
34938	 автобус сразу отпадать тратить дорога весь выдавать карманный расход итальянский лира сумма который быть эквивалентный 
34938	 самый дело разве это абсурд рожать тот действительность честный писатель который смело мочь сказать себя торговать лира 
34938	 жанна продавать они вещевой рынок американо рим выручать итальянский лира съездить флоренция 
34938	 тысяча лира месяц снимать комната 
34938	 вокзал рим провинциальный вид старушка подходить окошко касса спрашивать сколько стоить билет палермо десять тысяча лира синьора старушка оборачиваться свой 
34938	 дама давать римский нищий десять лира говорить 
34938	 хотеть чтобы десять лира происходить чудо 
0	 как если жена быть лира или арфа 
0	 что-то роднить натягиваться имперский струна поэтический лира 
0	 сохранять боже быть счастливый счастие лопнуть прекрасный струна его лира 
0	 ничто особенный делать играть американочка шашка разговаривать шекспир который проходить тот время спорить мочь 0
0	 лишь ветерок теребить струна лира висеть соседний ветка 
34938	 стоимость проезд тысяча турецкий лира доллар 
34938	 там быть около двести доллар тысяча сто итальянский лира куча драхма все вместе похоже 
34938	 карман быть еще мало пять миллион турецкий лира быть примерно доллар сотня 
34938	 русский который люба удаваться зазывать магазин придирчивый разглядывать майка блузка сарафан спортивный костюм спрашивать сколько стоить доллар турецкий лира просить показывать другой цвет или 
