label	text
33131	 все буквально все они тут свой коза овца курица свинья они все делать сам 
33131	 слышать удаляться гвалт она убеждать себя что все правильно что она сам отдавать страна мука курица корова 
33131	 она давно осточертеть этот ширпотребный занюхать рай этот город где шикарный небоскреб существовать рядом грязный дворик где голозадый ребенок гонять курица улица переулок секс 
33131	 потому что цикл производство курица очень короткий 
33131	 хотеть рассказывать случай разбойный нападение собака домашний птица самый предупреждать другой владелец курица 
33131	 муж выглядывать двор возглас собака трепать курица 
33131	 выживать курица спасаться только потому что собака 
33131	 еще отличный курица быть бессмысленно жестоко загубить 
38375	 вместе цена мясо курица кроме окорочок снижаться 
38375	 февраль увеличение цена творог нежирный мука пшеничный хлеб черный белый рис шлифовать пшено горох фасоль капуста белокочанный свежий лук репчатый огурец свежий одновременно снижение цена мясо курица масло подсолнечный наблюдаться 
33131	 держать корова овца курица иногда откармливать свинья 
33131	 забор квохтанье курица огородик цепной собака изба 
33131	 для обеспечение непрерывность производство огромный количество закупаться ярмарка доставляться мастерская исходный материал более наименование зола шадрик деготь древесный кора шакша помет собака курица голубь сандал воск 
33131	 сара бюисьер это несколько улица старый сельский дом подворье приземистый старинный церковь лай собака кудахтанье курица тихий деревня холмистый равнина 
33131	 совсем недолго тетя рая мочь шептать другой нужный что бобырев запалючий жадный работа дед мой жить так бедно что ужинать жареный лук что бабушка считать нехозяйственный она словно отвыкать война тюрьма даже сарай иметь поставлять поросенок сени вырастать больше собака разводить сени курица они взлетать чердак 
33131	 вот быть они лошадь корова курица собака что они быть 
33131	 точно так весь язык одинаково лаять собака мурлыкать кот мычать корова кудахтать курица 
33131	 непонимание молоток собака кот корова курица попросту нет 
33131	 потому даже стучать молоток собака кот корова курица говорить уже малый 
33131	 липа пахнуть почта сельсовет магазин церковь липа пахнуть человек собака курица корова 
33131	 потом пристраиваться школьник поводить куда-то другой конец зоопарк там всего-навсего курица 
33131	 выходить курица увидеть зимний слониха одинокий 
33131	 рыскать деревня тащить оттуда арбуз дыня овощ курица 
33131	 или сказ про курочка ряб трактат ветеринар как нестись курица 
33131	 мир сейчас около миллиард курица 
38375	 долго еще предстоять поедать ножка американский курица новозеландский говядина 
33131	 благодушный мерин осоветь постоянный еда поросенок корова собака курица благословлять свой участь 
38375	 если верить хозяин русский гость съедать пуд говядина баран вес пуд три четверть ягненок плечо филей телятина восемь курица восемь кролик два половина 
33131	 дворовый живность считать собака иметься только необременительный курица 
38375	 подвозить партия свинина или живой курица дрезина вагонетка 
33131	 вспоминать тот ранний едва забелеть утро лаять собака квохтать курица прозвучать тут аукнуться 
38375	 исследование проводить вниипп показывать что процесс хранение водосвязывать способность мясо птица после механический обвалка снижаться второй месяц хранение шестой сравнение исходный значение который составлять для мясо курица для мясо 
38375	 величина механически обвалить мясо птица составлять для мясо курица для мясо утка 
38375	 следовать отмечать что эмульгировать способность мясо курица статистически достоверно высоко 
38375	 кислотный число липид мясо курица после механический обвалка 
38375	 после трехмесячный срок хранение гидролитический изменение быть более выражать мясо утка механический обвалка продукт содержать этот сырье сравнение мясо курица механический обвалка 
38375	 затем процесс ускоряться что сопровождаться накопление продукт окисление перекисный число йод для мясо курица механический обвалка 
38375	 для мясо курица после механический обвалка характерный высокий 
38375	 анализ получать данные динамика жирнокислотный состав мясо курица утка после механический обвалка 
38375	 компания мак маркет солнечногорский район московский область уникальный технология производить сушеный строганина говядина свинина конина оленин лосятина мясо курица индейка 
38375	 мясо страус характеризоваться высокий сравнение мясо курица индейка говядина диетический свойство 
38375	 ухудшение санитарный состояние мясо курица время охлаждение мочь происходить 
38375	 результат физико-химический исследование корм мясо курица представлять табла 
38375	 жирнокислотный состав образец мясо курица представлять табла 
38375	 опытный образец мясо курица кожа без кожа 
38375	 аминокислотный состав мясо курица бычков представлять табла 
38375	 иркутск конец май сравнение нижеуказанный соседний город регион дешевый мясо курица рыба свежемороженый масло подсолнечный маргарин 
33131	 потом соседка снимать комната деревня становиться жить там среди курица собака соседка бояться 
38375	 если забивать мясо курица или кролик можно приготавливать смесь 
38375	 быть есть что поймать излишек менять туземец курица свинина 
38375	 почему магазин становиться баранина свинина курица 
38375	 хороший бульон получаться говядина курица дичь так как они содержать 
38375	 молочный продукт без перебой иногда торговать мясо курица 
38375	 еще понимать это навсегда или связанный майский праздник или юбилей вот уже два месяц торговать говядина масло курица постоянно 
38375	 многие жилец терпеть спиртное джейк говорить что зачастую алкоголь просто бывать дом разве что пиво быть вегетарианец остальной избегать быть говядина поэтому коммунар содержать курица коза для ребенок здесь 
38375	 удерживаться соблазн нескудно разнообразить совершенствовать свой арестантский стол они счет полагать что лишь восстанавливать попирать справедливость снабженец охотно включать рацион соболь курица сухофрукты отпускать отличный говядина 
38375	 еще обед приезжать мясник предлагать мясо курица зелень 
38375	 просто сказать что годиться только курица свежий говядина 
38375	 угощение полудикий преизобильный весь недоваренный холодный мясо говядина телятина козленок курица горячий мамалыга 
38375	 говядина есть индус свинина мусульманин человек богато есть баран курица большинство быть вегетарианец один 
33131	 кажется меир первый заявлять ледяной тон что позволять уничтожать они жизнь что она габриэле пора принимать антидепрессант что это курица смех когда человек выбивать 
38375	 добивать германия нравиться письмо подруга писать воевать пока удачно наступать брать город пить спирт есть курица утка особенно нравиться 
33131	 огород неубранный сентябрь стоять сарай животное курица мама генрих рыдать обнимать корова 
33131	 курица потравить потом корова односельчанин 
33131	 кой черт они понадобиться продавать квартира сам москва чтоб перебираться деревня купить там дом корова курица все равный понимать 
33131	 залезать ящик где курица нестись там солома постилать приходить 
33131	 сергей любимов муж пока консенсус сходиться что папа заплатить государство деньги курица клевать 
38375	 полагать что больной курица мочь становиться незаменимый модель для 
33131	 они голод копыто откидывать приходить деревня курица воровать овца 
33131	 она передавить курица овца тронуть 
33131	 так растить сам свой бараболить порося курица тот качок доить свой корова 
33131	 немного год назад там где сливаться шуметь обниматься будто два сестра струя арагва курица быть монастырь 
33131	 приваливаться щель слышать ранний крик петух квохтанье курица надсадный собачий лай 
33131	 чаевничать поочередно хозяйка уходить куда-то самый утро хозяин что-то сарай постукивать курица кудахтать недовольно 
33131	 весь увидеть поместье губернаторша особенно понравиться ульяна конюшня она лосниться ухоженность конь полусвет высокий узкий окно запах солома конский навоз вдруг остро напоминать она никогда вспоминать прежде детство который она понаслышке знать лошадь корова курица восхищать она как 
38375	 обязательно кондиционер который смываться после мытье нравиться пшикалка глисс курица или несмываемый мусс бонакур 
33131	 так вот упрямо агитировать чтобы купить дача даже обещать давать два старик украина муж жена который быть вести весь хозяйство заводить корова курица свинья быть жить 
33131	 курица кудахтать корова мычать кто-то 
38375	 практический условие процесс размягчение ткань счет созревание для цыпленок составлять курица 
38375	 прежде чем использовать мясо голень получать тушка курица индейка маточный стадо бройлер 
38375	 результат исследование весовой метод цель определение массовый доля кусковой бескостный мясо птица кожа или без кожа общий масса тушка выявлять соотношение мышечный ткань белый красный мясо тушка цыпленок бройлер цыпленок курица табла 
38375	 слово директор национальный институт исследование геном человек сша один крупный спонсор куриный консорциум куриный ген заполнять критический пробел наш научный знание располагаться эволюционный древо между млекопитающее рыба курица предоставлять прекрасный возможность для 
33131	 держать большой огород домашний хозяйство корова овца курица другой живность 
38375	 быть апробировать раствор полифосфат для охлаждение тушка курица перед механический обвалка что обусловливать 
38375	 конец хранение мес величина показатель предельный напряжение сдвиг мясо механический обвалка снижаться для курица для утка 
38375	 ооо птицефабрика новый петровский разрабатывать уникальный технология кормление курица для получение яйцо повышенный 
38375	 снижение уровень железо мясо опытный группа курица бычок объясняться незначительный уровень 
38375	 новый технический условие продукт мясо птица курица индейка включать широкий ассортимент вареный 
38375	 финляндия ввозить импорт следующий продукция корм для курица бройлер для балансирование рацион 
33131	 переживать тбилисский динамо тот самый год лаврентий берия помогать они смочь спустя три год прикладывать максимум усилие чтобы желанный кубок все уезжать берег арагви курица 
33131	 лиса давно воровать деревня курица цыпленок 
33131	 каждый район свой районный министерство утро сельский улица вперемешку курица корова видеть сонм официально 
33131	 европейский комиссия выдвигать требование запрещать содержание клетка курица несушка при перевозка корова 
33131	 правозащитник европа энергично защищать право убийца бандит насильник террорист теперь также курица несушка корова 
33131	 семья язиль калимова замечательный дом уютный хозяйство корова курица сад огород пчела полный 
33131	 внутренний двор гасиенды своевольный старик мендель заводить курица гусь что самый неприятный 
33131	 кто еще местный иметь свой огород поросенок курица корова жить 
33131	 жить хорошо собственный домик иметь огород фруктовый садик держать курица поросенок что 
38375	 праймер также давать продукт при амплификация геномный человеческий днк клеточный днк выделять неинфицированный клеточный культура днк неродственный поксвирус вирус миксома кролик фиброма шоупа род вирус оспа курица род данные показывать 
33131	 сарай корова рябой телка тень курица собака кошка 
33131	 участок обитать живность кот курица 
33131	 деревня бродить голодный корова курица 
38375	 титр сывороточный антитело определять ртга который ставить методика регламентировать для испытание антигенный активность гриппозный вакцина использование антиген взвесь эритроцит курица или человек группа ава 
38375	 воевать пока удачно наступать брать город пить спирт есть курица утка особенно нравиться 
33131	 все работа работа огород картошка курица поросенок день ночь 
33131	 конечно курица бродить собака бегать 
33131	 вобщий это деревня где корова коза курица разгуливать улица нет кафе 
33131	 там курица свинья корова два собака большой 
33131	 пусть жить она пусть поливать цветок пусть кормить она курица 
33131	 точно устанавливать что дерево взлетать гораздо много курица чем тот что теперь укрываться 
33131	 часто все это быть задушить курица какой-нибудь очень дальний сосед 
33131	 отличие они овца корова курица обстрел относиться философски 
33131	 начальник запирать бульдог дом постанывать невыносимость вытаращивать напряжение глаз мигать они суметь сделать весь приготовление повеситься сарай где нестись курица 
33131	 иванушка написать письмо сестра что зарезать все курица 
33131	 утро ночь корова поросенок овца курица 
33131	 она идти ведро сарай где держать корова курица 
33131	 другой курица встречать она столь мизерабельный 
33131	 все забитый мешок везти курица гусь даже свинья 
