0	Что там у тебя такое капитан  спросил чей-то густой и спокойный голос и показался седой красивый старик с белым кок в военной форме  
2	Из троих только двое заигрывали с белобрысой девицей третий толстенький маленький с красным ирландского кроя лицом и черным прилизанным кок на лбу предметом поди его 
0	Совершенно отчетливо видел я этот берег видел Двигубского сидевшего на песке обхватив острые колени руками глядевшего на море не видевшего меня видел арабское семейство с толстой мамой четырьмя ребятишками и множеством подстилок расположившееся от Двигубского справа видел счастливого обладателя фисташково-кок кольной тележки с тибетской невозмутимостью 
2	Зачастую стилягами называли всех кто чем-то выделяется форсит вне зависимости от того одет ли он в дудочки брюки-клёш или джинсы слушает джаз или рок танцует твист или шейк кок у него на голове или 
0	У меня над кроватью сколько себя помню висел план огромного океанского парохода в разрезе на котором я без конца мог разглядывать каюты трапы машины капитанский мостик трюмы маленьких человечков которые гуляли по палубе или обедали за столиками в ресторане матросов кочегаров там даже была крошечная собака воровавшая сардельки у кок  
2	Лучше бы только в мирские дела пореже лез  громко сказал отставляя вычищенную тарелку один из партийцев жилистый смуглый мужчина похожий на Бабу-ягу из мультика с залихватским смоляным кок на голове  
2	Согласно обывательским представлениям стиляги одевались стильно то есть в яркие чистые интенсивные окраски зеленые брюки желтые рубашки носили фиолетовые галстуки и огромные кок хохлом вперед с зачесом назад 
2	Самым известным стилягой был Хасик Коган  высокие каблуки голубые брюки огромный кок  
2	Борьба за право носить узкие брюки баки и напомаженный кок  
0	Моряком причем хорошим ты будешь я уверен в этом  внимательно взглянув на Костю сказал с одобрительной усмешкой морской волк  но знай что и кок на корабле  далеко не последняя 
2	А впереди открывая красивый лоб возвышался огромный кок  
2	Прическа еще довоенная  впереди кок сзади валик  
2	Назначенный на роль Торговца смертью Шабашов вошел последним но зато его седой и гордый кок стоял над головами всех как 
0	Гости которых пригласил к себе на время завтрака но имея в виду грядущий ланч русский американец Американ были уже знакомые нам Анна и Константин привезенные соседкой по подъезду Екатериной за глаза  Катькой и авторы этой книги приехавшие порознь Галина и Анатолий Капитан кок  
0	Другая культура  искал примирительную линию АН словно бы вспомнив что его подлинная натура  Капитана кок открывателя новых земель  
0	Некий капитан Франц Баннинг кок стоящий в центре картины оплатил 
2	Становился в позу рефери демонстрировал себя анфас и в профиль картинно вскидывал голову со взбитым на ней кок из волос играл голосом  
0	Тогда разгневанный Левиафан устраивает шторм в котором гибнут Няня Капитан -ый помощник -ой помощник Поэт и толстый кок великолепная партия для комического баса 
2	Помню он очень интересовался своим сценическим обликом внимательно рассматривал мой эскиз Ленского и просил меня обязательно сделать ему модную тогда среди актеров прическу с высоким кок на лбу  
0	Старый морской волк знавший бесчисленное количество случаев рассказывал о друге    Мой друг служил кок на паруснике  Однажды судно потерпело 
0	Экипаж эсминца   матросов а шлюпок всего  из них нормальная только одна и то на ней кок за телками плавает сэр  
0	Нужно было выпутываться и чем раньше тем лучше   Собрался совет капитан провиантмейстер кок врач  Полистали книгу где были 
