label	text
30349	 каждый день ровно час четыре сторона свет раздаваться башня горн трубач 
30349	 цыганка танцевать завлекать солдат хотя тот первый звук горн убегать казарма 
30349	 быть страшно общительный видимо обладать какой-то организаторский способность потому что всегда быть капитан волейбольный футбольный команда командовать игра зарница играть горн барабан гитара год 
30349	 вместе они грустный мальчик глядеть преуспевать лицо тело раскраснеться раскармливать одноклассник синий шорты белый рубашка под звук горн стук барабан цветок 
30349	 чуть каждый фракция оставаться дежурный готовый случай нападение индеец быть какой-нибудь выходка кремль трубить горн призывать гарнизон обратно 
30349	 это блестященький горн пионерский это красненький это 
30349	 отец вставать горн побудка подымать сын идти 
30349	 вдруг пионерский лагерь горн заиграть 
30349	 над они гордо плескаться красный знамя бить барабан трубить горн десять пионер отделяться остальной  
30349	 объяснять что тут что познакомить компас кренометр показатель давление масло барометр туманный горн 
30349	 видимо просто быть создавать для счастливый детство под звук горн 
30349	 горн воздух звук расплываться далеко 
1	 все это случаться потом сначала фрегат аврора огибать мыс горн приходить апрель перуанский 
1	 этот раз маршрут между кольский полуостров камчатка пролегать через атлантический тихий океан огибать мыс горн 
30349	 видимо просто быть создавать для счастливый детство под звук горн 
1	 когда-то они быть мечта отправляться весь семья автопутешествие мыс горн 
1	 сашин аппарат шуметь будто вокруг шторм водный мотоцикл огибать мыс горн 
32374	 газета тогда конечно существовать однако конструкция печь быть воспроизводить точно неолитический гончарный горн чрезвычайно простой круглый площадка 
1	 вербоваться навигационный служба авианосец звонить раз два год персидский залив или мыс горн чрево плавучий атомный монстр 
30349	 форма трубач действительно напоминать труба горн или рупор 
32374	 что-либо иной более трудоемкий быть трудно заниматься так как горн или печь требовать постоянный внимание 
32374	 время игрушка становиться обжигать горн сушить печь 
1	 раз два неделя выходить радиосвязь один наш общий друг член яхт-клуб сообщать что проходить через зона шторм вокруг мыс горн так далее 
30349	 оракул работящий труженик первый звук боевой горн способный вставать ряд обороняться 
30349	 детство все свободный время после школа пропадать дом пионер где учиться играть барабан горн 
30349	 играть горн городок целье небольшой очень 
32374	 чтобы понимать наш чувство представлять себя горн печь для обжиг гончарный изделие 
32374	 так вот оказываться что раскапывать весь обжиг быть весь изделие находиться печь бой один такой горн хотя сам 
32374	 довольно часто нарушаться требование технологический инструкция что мочь приводить прорыв горн доменный печь 
1	 вместо обещать семь миллион босс век фокс давать только три гонорар коннерить абрахам забирать себя территория прокат мыс горн аляска 
0	 новый система охлаждение печь химочищенный вода использование холодильный плита усовершенствованный конструкция высокопрочный чугун шаровидный графит экстремально напряженный зона печь как использование микропористый углеродистый блок андалузитов изделие для футеровка горн давать возможность значительно увеличивать межремонтный 
0	 требование безопасный эксплуатация новый печь обеспечивать система разгар горн лещадь система подготовка анализ 
32374	 самый запоминаться становиться творческий встреча мастер различный школа направление строительство горн обжиговый печь проведение показательный 
30349	 общий они каждый год так поступать будкин уже привыкать просыпаться июльский утро под звук горн ухо зубной 
1	 первоначально речь идти судно который предназначаться для рейс основное под парус калькутта впоследствии проект быть перерабатывать для кругосветный плавание маршрут англия мыс добрый надежда калькутта австралия мыс горн англия 
1	 дополнение паровой машина судно быть сохранять парусный вооружение шесть мачта высота фут общий площадь парус более вполне достаточный чтобы воспользоваться ветер господствовать долгий путь между мыс добрый надежда мыс горн 
1	 думать весь жизнь запоминаться вид его где находиться отделять мыс горн америка потому что 
1	 последний раз звонить мыс горн через индийский спутник связь 
30349	 директор под звук горн вручать неслыханный тот 
30349	 впрямь что-то такой чудиться задорный живой молодецкий что-то горн барабан труба традиция боевой шахтерский 
1	 хотеться поспевать кроме атакама мыс горн огненный земля 
1	 познакомиться один парень идти чуть сам мыс горн собираться доходить 
30349	 из-за закрытый дверь доноситься звук горн потрескивание барабан оставаться 
30349	 что-то быть затягивать такой торжественный слитие красный знамя под угол бронзовый ильич посеребренный горн резкий звук гордый осанка 
1	 кроме побывать экспедиция антарктида аляска индийский океан мыс горн альпы памир 
32374	 один печь что стоять чистый алхимический горн разве что воздуходувка взамен мех 
30349	 наконец осада наш комната быть снимать заживать спокойно хотя звук горн будить час 
30349	 замысел серебряный звук горн раздаваться над гагра шесть 
30349	 тревога понимать лишь один его свисток отступать перед звук перед сигнал мой горн 
32374	 туманный прошлое заводский двор сохраняться толстостенный кирпичный кладка забрызгать металл массивный свод горн печь 
0	 улица еще тьма как ночь цех гореть электричество впрочем гореть тлеть два чуть живой лампочка качаться длинный провод над волочильный стан третий возле отжигальный печь там обычно без светло горящий горн еще один лампочка едва 
