label	text
27747	 что мочь быть хороший горячий булочка завтрак или большой сытный пирог обед красивый сладкий выпечка ужин 
27747	 вот несколько рецепт завтрак обед или ужин использование тесто 
27747	 ваш завтрак готовый без хлопоты курник или закрытый пирог обед слоеный тесто мастерица 
27747	 быть первый половина день школа после обед универ 
27747	 есть школа завтрак обед перед школа только кофе 
27747	 студент обычно недовольный еда столовая сам все равный готовить крайне редко более что обычно студент жить кампус просто обязывать заключать договор столовая оплачивать сразу весь свой обед завтрак ужин пол 
20613	 приходить время обед окно высовываться мама 
27747	 глядеть раздраженно статуя опускать рука институт насупливаться буркнуть голубчик быть еще работа подавать офицерский палата завтрак обед ужин уносить грязный посуда 
27747	 они она готовить завтрак обед ужин 
32048	 дружок отзываться грубовато недовольно перерыв обед пойти никуда 
27747	 даже слишком плотный завтрак ослаблять внутривидение так что павел алексеевич усваивать привычка обходиться без завтрак первый раз есть обед или если второй половина 
27747	 кормить санаторий преизобильно как-то оскорбительный для василиса так что чуть осваиваться она отказываться ходить завтрак обед приходить семья только 
20613	 время обед тянуться еще вода 
27747	 завтрак это быть поздний ранний обед сидеть стол долго 
27747	 так как все жить один гостиница поневоле оказываться один стол завтрак обед 
20613	 рано железный военный ряд выходить думать виталя кукин возобновлять воспитовать беседа обязывать все прежде все вновь прибывать сортировщик время обед иль после работа обязательный 
20613	 время обед вадим петрович предостерегать чтоб 
27747	 сколько добрый дело можно быть совершать если отвлекаться завтрак обед ужин 
27747	 один только изменяться иногда обед мама готовить мясо конина 
32048	 целый день восемь час утро этот час кабинет быть уже много солнце старый тополь под окно шуметь как морской пена соседний детский парк вовсю заливаться птица кричать иволга легкий ветерок гулять бумага часовой перерыв обед они следователь сидеть 
20613	 время обед старик сташенок сидеть угол 
27747	 обычно завтрак обед съедать все ужин доставаться 
20613	 иногда замечать это время обед когда чересчур медлительно как 
27747	 зато лагерь мясо обед сливочный масло утро 
27747	 тема этот очень ясный год двадцать назад когда любой пионер даша тот число быть надежно известно что семейный кухня скорый время отмирать домашний очаг погасать раскрепощать женщина быть получать завтрак обед фабрика кухня тема этот 
20613	 здешний столовая время обед кончаться время ужин еще 
27747	 прежде все зайти столовая где завтрак кончаться обед начинаться разумеется симочка 
20613	 надо подставлять сковородка под шипеть масло потом время обед этот вкусный жир поливать мамалыга 
27747	 представляться как сюда носить обед ужин завтрак все 
20613	 видно что теперь сам рад потому что черника уже успевать съедать время обед приближаться 
27747	 отношение обед завтрак чуткость белецкий 
20613	 приходить время обед вести они 
27747	 например много время тратить приготовление пища завтрак обед ужин это все вычитываться 
27747	 считать сон лагерник жить для себя только утро десять минута завтрак обед пять пять ужин 
27747	 шлиссельбуржец происходить обратный его тюремный двадцать пять год складываться томительно длинный отдельный промежуток время утренний поверка вечерний завтрак обед 
27747	 что день известие полный быть важный сообщение банкет обед завтрак 
20613	 после обед пятница квартира его 
20613	 после обед высылать вон дежурный при 
20613	 после обед часть общество переходить уютный 
20613	 после обед картошина жена его мура 
20613	 после обед анна осиповна подходить адольф 
