label	text
36983	 тронуть повод горячий кавалерийский лошадь пойти рысь потряхивать всадник 
36983	 ехать рысь наш ашкер бежать впереди 
36983	 дорога узенький снеговой лента бежать все вдаль вдаль колоколец привязывать низенький дуга коренник будить оцепенеть окрестность ясный отчетливый звон когда лошадь бежать рысь какой-то беспорядочный гул когда 
36983	 правда совсем классический потому что весь три лошадь бежать рысь 
36983	 застава пускать рысь лошадь идти неплохо 
36983	 вдруг удивление почувствовать что лошадь снова замедлять рысь против тот дерево который заставлять 
36983	 приближаться рыжий лошадь кудлатый ступать снег размашистый рысь 
36983	 дорога спускаться пригорок лошадь побежать рысь 
20083	 уходить чусовой кабан рысь северный олень упрыгивать прочь белка 
20083	 животный мир небогатый медведь лось волк заяц изредка рысь 
20083	 животный заповедник обитать около вид среди они медведь волк росомаха рысь лисица косуля лось кабан барсук 
20083	 они гораздо менее агрессивный чем рысь дикий кот пума 
20083	 жить мелкий пума крупный рысь 
36983	 ехать рысь все много сползать 
20083	 далеко случайно эльконин особо выделять среди пример использование знак приводить выготский тот который относиться аффективный личностный сфера коготь рысь придавать храбрость гонец жребий 
20083	 навстречу грузчик уже везти тележка клетка который сидеть очень крупный светло-серый сибирский рысь 
36983	 однако метр тридцать финиш лидировать лошадь сбиваться рысь заскакивать переходить галоп 
36983	 как стадо баран гнать рысь под осатанелый лай собака 
20083	 вообще нравиться быстрый прыгучий животное рысь пума тигр 
20083	 киностудия взрослый рысь иметь дело также отказываться 
36983	 собирать все обратно снести пойти записываться большевик заключать трофим переводить лошадь рысь шевельнуть вожжа 
36983	 милицейский лошадь видимо учить бегать ипподром сколько они подстегивать они вникать важность миссия гарцевать ленивый рысь 
20083	 каждый листок смотреть ион немой колдовской глаз ветвь извиваться перелетать зеленый птица древесный гриб приобретать выразительный черта дикий рыть чащобный нечисть глубина виднеться нагой женщина сова совенок рука лось березовый рог прозрачный душа предок самоцветный рыба пернатое медведь ворона человечий личина грудь рысь крыло лапа подземный 
20083	 это рысь красивый дикий кошка наверняка она 
20083	 некоторые глаз называть рысь настоящий дикий кошка поедать пушистый 
36983	 верить свой ухо легенда верить считать несмышленыш тот студент который выпрягать карета мария николаевна лошадь рысь мчать она тверской бульвар 
36983	 лошадь должный бежать рысь вдруг вскидываться галоп 
36983	 пока наездник дергаться вожжа пытаться вернуть лошадь бег рысь подъезжать михалкин легко обходить 
36983	 практикантка выравнивать свободный полет помести рысь мой лошадь 
36983	 слегка подбочениться откинуть корпус назад солдат потряхивать вожжа лошадь неохотно трусить мелкий рысь 
36983	 лошадь вскидываться голова нервный рысь проскакать мимо левкоева заслонять она 
36983	 очень быстро соображать что хороший все скакать лошадь галоп идти рысь так легко удерживаться поскольку нет 
36983	 целый год каждый ночь ждать топот его лошадь идти рысь раз 
36983	 пойти быстро сказать алеша пускать свой лошадь рысь 
36983	 стегануть она камча посоветовать роуф софичка дожидаться неверный камча так гикнуть лошадь что софичка мгновенно затрясти седло лошадь пойти рысь крепко держать повод 
36983	 лошадь идти рысь слышаться частый глухой стук 
36983	 сегодня рысак трехлеток оспаривать приз честь работник сельский хозяйство старший сотоварищ скакать рысь спортивный приз 
36983	 рано скакать рысь галоп никогда 
36983	 поехать рысь переходить галоп огонь понестись 
36983	 ехать рысь двадцать пять верста один 
36983	 взглядывать как хороший гончаров конь именно галоп рысь скак 
36983	 оказываться это быть график изменение нагрузка рысь галоп экземпляр киккули 
36983	 четверка хрястнуть копыто передок экипаж будто собираться пускаться галоп даже прибавлять рысь 
20083	 если выстраивать как смотр весь четыреста вид проходить мимо различать много знакомый лось олень антилопа медведь волк выдра бобр лиса красный серый дикобраз росомаха норка куница рысь белка бурундучок дикий свинья пекари 
20083	 здесь можно встречать около девятьсот вид всевозможный растение многовековой дуб чрезвычайно редкий единичный представитель растительный мир здесь находить приют много пятьдесят вид млекопитающее среди который благородный олень лось косуля дикий кабан енотовидный собака куница горностай рысь ондатра конечно зубр 
36983	 лесоустроитель давно уже чуть сто год назад разбивать квартал просека визирка поставлять нумеровать угловой столб репер поздно там здесь воздвигать преогромный смотровой вышка подниматься вверх шаткий лестница полчаса горячий дыхание разгонять сердце сперва рысь потом галоп достигать 
36983	 мой спутник пускать лошадь галоп уметь ездить тогда еще даже рысь вынуждать быть торжественно медленно 
36983	 ехать рысь весело поглядывать свой юный 
20083	 череп крупный хищник медведь волк харзы росомаха барс рысь дикий кошка менее ценный 
36983	 ехать рысь она мочь сцеплять 
36983	 динка переходить рысь галоп бешено мчаться 
36983	 конник галоп добрый рысь проходить свой перегон час 
36983	 конь бодро пойти стараться переходить рысь раскорячиваться сдерживать сила 
36983	 лошадь попадаться слабосильный идти плохо рысь все сбиваться шаг 
36983	 лошадь переходить рысь бодро похрапывать чутко слушать 
36983	 может оттого нельзя быть ездить шаг или рысь только галоп пригибаться 
20083	 раздавать четырехпалый цапкий похожий лапа рысь выпускать коготь 
36983	 кроме вероятно стадо идти рысь или очень быстрый шаг переселяться 
20083	 понимать иван родионыч пойти мой рысь сибирский 
20083	 при что слыхать будто рысь очень опасный зверь 
20083	 ночь голос смешиваться голос зверь чекалка дикий кошка рысь медведь кабан горный тур некоторые 
36983	 лошадь мой который только мотать голова когда пес прыгать перед морда который довольно трудно быть заставлять идти даже рысь говорить галоп 
36983	 идти такой скорый размашистый широкий шаг что щукарь поспешать время время переходить дробный рысь 
36983	 животный сам знать когда она шаг идти когда рысь бечь 
36983	 галоп переходить возможно быстрый скверный рысь 
36983	 хороший минута мочь преследовать цель непременно цель убегать ленивый галоп рысь аллюр прельщать 
20083	 более осторожный зверь завидеть издалека убегать свой крупный легкий рысь высоко подымать голова энергично 
36983	 никто понимать зачем гнать весь скоро скоро велеть отпускать мундштучный повод почему злиться когда задерживать конь сбиваться рысь галоп 
36983	 требовать наоборот для переход галоп рысь толкать лошадь шенкель вперед 
20083	 медведев смотреть берман так как степной рысь смотреть скорпион коготь 
20083	 конь зверь задирать мочь волк рысь черт знать что 
20083	 ерш набирать рысь помахивать голова озираться 
20083	 этот рисунок зверь изображать как движение бежать олень прыгать рысь 
20083	 зверь водиться всякий медведь рысь барсук колонка горностай белка 
36983	 раздувать краснота ноздря лошадь промчаться мимо дом юткин церковь когда подниматься гора переходить галоп рысь 
20083	 дикий животное представлять фатьяновский погребение преимущественно зуб зуб медведь кабан лисица рысь волк входить состав 
36983	 когда гуля научаться ездить шаг рысь галоп дорожка парк 
36983	 еще надо быть научаться по-разному ездить шаг рысь галоп вдобавок еще брать 
20083	 она нападывать чехов как рысь беззащитный лань 
36983	 околица шершень погнать серый галоп каштан тоже рвануться вдогонку понимать что галоп ездить куда приятно чем рысь 
20083	 несколько причудливый одетый танцовщица исполнять пляска изображать как степь беззаботно пастись лань как она подкрадываться рысь бросаться она сам 
20083	 тут кум его мария змий лютый злой взор аки зверь лютый совет злой изменник советник задумывать злой мысль изменный улавливать скопин аки лес птица подобнуть аки рысь изжаритя 
20083	 видно быть что зверь схватывать собака уходить сначала прыжок потом бежать рысь последний метр идти 
36983	 первый кроме тот случай когда составляться благородный священный потому ненавистный гекзаметр казаться чернышевский естественно здоровый двухдольный как плохой наездник галоп кажется просто рысь 
36983	 покуда команда галоп выстраиваться выравниваться перед подъезд офицерский собрание палицын верхом кобыла вдова въезжать лестница прямо парадный дверь собрание рысь проехать через передняя библиотека 
20083	 глянуть бахмат ворона зверь зверь грива зреть почти земля копыто железо ступистый барберень окаянный только рысь тяжелый 
20083	 входить князь образ яко зверь рысь являться иерем 
20083	 хищничество койот являться важный фактор замедление увеличение число белый куропатка снежный заяц последний являться важный часть пища пушной зверь особенность рысь 
20083	 этот хитрость переманивать лес немало слабый зверь себя вечный рабство конь железо обувать бык шея ярмо налагать баран шить шуба делать сальный свеча собака приучать хвост лапка приносить лес целый заяц рысь кот оборачивать кабан 
36983	 через час нестройный толпа всадник выезжать степь скрипеть скакать рысь тачанка пулемет тяжелый конь 
36983	 проскакать несколько десяток верста рысь галоп хорошо растягиваться 
36983	 спасаться преследование охотник идти рысь иногда галоп 
36983	 тряска смех едва удаваться усиживать его колено просить еще продлять удовольствие снова переходить рысь галоп 
36983	 приказание англичанин исполняться рысь галоп 
36983	 так случаться тот великолепный немного пасмурный теплый благоуханный вечер когда поседлать тревога крупный рысь пора галоп помчаться неизвестно куда 
20083	 узорочный сень или кровля шатер поддерживать четыре символический животное лютый лев рысь еще два фантастический зверь 
36983	 впятером наш бричка быть совершенно невозможно ехать только бешеный галоп как предполагаться даже рысь особенно при необходимость отстреливаться 
36983	 груша вспыхивать гнать рысь телега греметь они оба смеяться 
20083	 оранжевый платье точно шкура рысь сидеть зимний кофточка 
20083	 вот душа прекрасный шкура рысь тревога глянуть горизонт 
20083	 самый обычный обитатель волк белка бурый медведь лисица кроме который крупный зверь встречаться барсук росомаха рысь выдра лось далеко 
20083	 иногда кляпцы попадать лиса рысь этот зверь уволакивать 
36983	 мыслова шибко гнать рысь дорога знать добро 
36983	 никитин ничто понимать лошадь для быть решительно все равный держать лошадь повод или мундштук скакать рысь или галоп только чувствовать 
20083	 сторож рассказывать что тут вообще довольно всякий зверье недавно приводиться убивать рысь шкура который храниться 
36983	 при первый выстрел все стадо пускаться уход крупный рысь иногда галоп 
36983	 модница заставлять делать круг всевозможный аллюр тихий шаг рысь галоп 
20083	 рысь как-то особенно прыснуть затормошиться 
20083	 это быть большой оморочо рысь самец шкура его почти 
36983	 проговаривать она подтягивать повод взмахивать хлыстик пускать лошадь рысь потом галоп понестись 
36983	 фру фру вскидывать левый нога галоп сделать два прыжок сердиться натягивать повод переходить тряский рысь вскидывать седок 
20083	 так точно общекошачий отличительный черта зуб лапа коготь соединяться различный размер тело различный длина хвост присутствие грива круглый или щелеобразный зрачок ухо кисточка или без кисточка конец шерсть одноцветный полосатый или пятнистый образовывать определенный форма лев тигр барс рысь домашний кошка 
36983	 тоже молчать продолжать гнать рысь 
36983	 андрей рысь помчаться ланкин клуб 
36983	 рысь чалый конь ехать они 
36983	 кивнуть голова старик знак что хорошо понимать старик ударять лошадь камча она пойти быстрый шаг время время пытаться переходить рысь 
36983	 поглядеть еще раз внимательно сторона прямой след слепой елань травка окончательно повертываться сторона тропа обходить слепой елань правый сторона еще раз подниматься задний лапа увериться вильнуть хвост рысь побежать туда 
36983	 кавалерийский ала забирать все широко рысь вылетать площадь чтобы пересекать 
36983	 вырываться воздух буфетчик рысь побежать ворота навсегда 
36983	 показывать рысь чуть застаиваться удерж 
36983	 разносчик схватываться лоток рысь перебегать через дорога 
36983	 когда выбираться берег все пускаться рысь 
36983	 пускаться рысь подошва скала куст 
36983	 тот самый время григорий иванович муромский соблазниться хороший погода велеть оседлывать куцый свой кобыла рысь поехать около свой англизировать владение 
36983	 тут разрабатывать специальный рабочий троеборье шаг груз шаг снежный целина груз рысь груз 
36983	 впрочем слаборазвитый государство демографический старение тоже переходить рысь уже середина век 
20083	 жакан ходить большой зверь лось рысь медведь 
36983	 полк повертывать чуть рысь отступать близкий село терять 
20083	 рысь косуля вепрь медведь леопард дикобраз 
20083	 васмус кланяться сокол перенимать местный племя священный отношение этот птица поправлять пенсне тщательно заматываться платок пришпоривать конь подымать рысь 
36983	 звездочка переходить рысь ухаб бочка становиться 
36983	 дорога пойти под уклон конь охотно переходить рысь 
36983	 лишь год список вывозить якутск пушнина вместе шкурка соболь видеть один рысь горностаев песец 
36983	 мамонт вдруг встряхиваться рысь припускать 
36983	 когда длинный цепь крестьянский телега припускаться рысь густой полоса пыль относить ветер 
36983	 пропеть рожок рысь подкатить карета скорый помощь 
20083	 местный лес вольготно жить размножаться лось кабан много заяц белка быть хищник куница рысь волк медведь 
36983	 ничто помириться старик щуриться глядеть вдаль где гребень холм карий скакать уже галоп рысь сам себя 
36983	 хан ускорять шаг теперь нестись широкий рысь молча отвечать много 
36983	 г-н рысь помчаться обратно гостиница жахнуть 
36983	 валя так любить свой ванечка она быть глубоко безразлично что правило предписывать девушка опаздывать свидание кой случай мчаться рысь 
36983	 напарник тронуться уверенный рысь под надбивать каблук новый кирзовый 
36983	 затем камера наезжать все близко близко дворовый мальчик старательный подражать рысь лошадка 
36983	 вдруг идти платформа человек становиться спешить кое-кто переходить рысь 
36983	 после этот занятие площадка десяток ребенок ездить круг переходить шаг рысь 
36983	 конвой цокать копыто булыжный мостовая переходить кавалерийский рысь 
36983	 дверь обертываться взглядывать рысь поежиться 
36983	 дверь глухо ударять рысь один раз вновь наступать 
36983	 они несколько раз под возглас толпа развертывать место понестись рысь 
20083	 лиса весь вид африканский степной сиводушка также волк енот рысь привлекать внимание мода 
36983	 конечно даже такой рысь она гений даже 
36983	 абдрашидзе рысь побежать дверь вернуться 
36983	 развертываться они полететь свой верблюжий рысь назад дорога потом 
36983	 один незначительный тогда считаться племя рысь 
20083	 серый кошка желтый птица рысь уходить белогривый вершина привыкать 
36983	 зачем стрелять рысь ястреб шевелиться 
36983	 утро после короткий ночевка идти становиться трудно память ястреб рысь укреплять вера давать 
20083	 почти останавливаться нагибаться срывать клюква жевать ход ледяной ягода повторять как заклинание рысь ястреб выводить 
36983	 босой цыган сиреневый рубашка ехать неспешный рысь вдоль обочина коричневый сытый 
36983	 спасибо угощение сказать переходить рысь чтобы как ненароком упираться 
36983	 так что шаг рысь под руководство овладевать 
36983	 дальнейший продолжать выступать дрессированный рысь 
20083	 также видеть отец фотий птица черный яко орел другой зверь аки лев третье животное яко рысь бежать орел 
36983	 думец зотов переходить галоп учебный рысь 
36983	 возвращаться видеть идти прогулка боря короткий пальто воротник гималайский рысь 
36983	 чуть-чуть хватить выносливость второй номер пятый седьмой наездник мастерство сбиваться рысь финиш второй номер деньги 
36983	 загибать левый фланг шашка наголо атака рысь марш 
36983	 асфальт легко все забираться телега повозочный взмахивать вожжа бегом рысь где галоп 
36983	 прямо наш костерок ретивый рысь нестись семеро кришнаит 
36983	 сей раз рысь поводить морда вслед 
36983	 старший воспитатель наш капитан пидгорный впрямь учебный рысь трястись привычный седло 
36983	 пойти тот рысь галоп свой приберегать 
36983	 когда панталончики кружево вдруг исчезать переходить несолидный растерянный рысь 
36983	 чеченец гнать галоп моллер трусить манежный рысь 
36983	 ухватывать повод мистер мерфи рысь двинуться сторона камыш 
36983	 давно надо быть заводить домик деревня расслабленно размышлять позволять вороной переходить такой минута галоп размеренный рысь 
36983	 тот время мусорный ведро весь квартира быть переполнять жилец мчаться рысь успевать опорожнять 
36983	 итак рысь эскулап кельтский легенда 
36983	 пускать мальчик рысь поворот нагонять идти 
36983	 стискивать мальчик шенкель мальчик могучий рысь тронуть вперед 
36983	 всадник сближаться переходить рысь между они разведка оставаться 
36983	 здесь садиться седло четвертый лошадь нагружать поклажа одинец вести себя повод ехать без остановка пора переходить рысь 
36983	 волик послушно вздрагивать пускаться небыстрый рысь выбрасывать передний нога 
36983	 лошадь переходить рысь шаг седло подниматься 
36983	 один парень рысь метнуться корма 
36983	 несильный тронуть бок ржавый каблук тот послушно переходить рысь 
36983	 перелесок кончаться выбегать круто подниматься берег два тонкий едва оперяться деревце виктор пускать мальчик рысь проходить мало три 
36983	 легко бросать свой сухопарый жилистый тело седло сверкнуть золотистый темляк георгиевский шашка рысь пойти ворота 
36983	 добиваться правильный посадка правильный рысь чтоб всадница лошадь сливаться 
36983	 человек переходить рысь без паника даже изящество 
36983	 ясный воздух ясный поймать брести пламенеть иванов весь натыкаться ловить воздух разевать горло все быть ясный вплоть подробный сучок веточка ясный рысь аккуратно лакать молоко бидон 
36983	 ясный все забывать рысь играть снежок колобок ушко домик 
36983	 буров рысь понестись изба когда 
36983	 человек вокруг благоговейно молчать следить обстоятельный рысь перо оживлять сокровенный надежда 
36983	 снова бесконечный тоннель коридор переход театр нервный рысь нестись начальственный группа 
36983	 кольча младший отламывать ветка елка хлестать зад лысуха гнедко лошадь брать рысь алешка закидывать 
36983	 великий наш удовольствие лошадь рысь вбегать двор 
36983	 отдавать честь отвечать васька рысь вперед взреветь капитан 
20083	 зем вздрагивать испуг метнуться как рысь кабина бормотать что-то про 
