label	text
13284	 результат один сотрудник рэу останкинский узнавать парень бригада рабочий снимать квартира проспект мир 
13284	 вымащивать гранитный плита широкий тротуар построить импозантный улица ширина невский проспект говорить георгий иванов 
13284	 корреспондент задание редакция утренний час вставать около триумфальный арка кутузовский проспект который московский чиновник вперемежку 
13284	 особый гордость застройка микрорайон дорожник район доручасток октябрьский проспект 
13284	 жить восьмой этаж дом ленинский проспект сомбатхейский микрорайон 
28382	 первый год дизайн реклама ходить все много праздный старушка собирательница радовать глаз пестрый рекламный проспект маленький календарик 
0	 законодатель заново детализировать упрощать процедура выпуск размещение эмиссионный ценный бумага сосредотачивать особый внимание раскрывать проспект эмиссия ежеквартальный отчет 
0	 финансовый консультант это профессиональный брокер или дилер который помогать эмитент подготовка проспект эмиссия ценный бумага заверять 
1	 каменный глыба день наружу выходить холод бродить сумрачно улица проспект площадь простор который волна 
1	 что улица проспект лежать тяжко прямо долгий 
13284	 проспект мир оказываться без двадцать 
28382	 они становиться выпускать солидный реклама выразительный плакат печатать граница проспект буклет брошюра книжка провожать творческий 
28382	 вокруг немало человек разбогатеть бывать роскошный дом дача словно сходить рекламный проспект слышать хороший знакомый про 
13284	 посвящать друг тайна кутузовский проспект андрей становиться 
13284	 позвонить автомат васькянин усыплять сказать что денно нощно работать над статья свойство германий ягуар его пересекать ленинский проспект затем 
13284	 многоэтажный дом проспект мир подъезжать уже таиться 
13284	 вадим подливать коньяк уверять что сегодня вечер совершенно свободный вообще вести себя очаровательный тот пора пока примечать окно брести проспект труд долговязый сутулый человек 
13284	 подробный информация обращаться адрес россия москва зеленый проспект 
13284	 следующий раз обращаться предложение спроектировать здание для московский финансовый институт проспект мир 
13284	 после варшава она немного разговориться узнавать что она получать пенсия первый муж прохоров плунге старый коммунист реабилитировать посмертно что она хороший однокомнатный квартира проспект мир недалеко метро где 
1	 этот имя множество быть переназывать город площадь улица проспект дворец университет школа санаторий горный 
28382	 мечта венецианский карнавал сбываться нежданно-негаданно сбываться как это часто бывать считаный минута просто заглядывать туда куда обычно заглядывать рекламный проспект компания виза который получать каждый 
13284	 павел флоренский дурылин литературный музей квартира брюсов она музей серебряный век проспект мир 
28382	 течение весь полет два звездолет класс рейнджер ежесекундный следить обстановка любой момент готовый приходить помощь обещать доверчивый обыватель рекламный проспект 
28382	 звездный компас полагаться слепой удача стараться предотвращать устранять его последствие чем скромно самый конец упоминаться рекламный проспект 
28382	 через полгода жемчужница исключать рекламный проспект вычеркнуть маршрут туристический 
28382	 фешенебельный лайнер компания уходить радужный ворота уникальный цветовой гамма энергетический всплеск явление вселенная как утверждаться рекламный проспект 
0	 ограничение связывать технический фактор весь проспект эмиссия спб необходимо переводить 
13284	 муж наконец почти подниматься проспект гагарин 
