22390	 колченогий хрипота глоток большерукий глаз как жаба деревенский нескладный разговор 
38123	 так вот переворот служить отец отдел кредитный билет государственный банк после продолжать служба разный контора помирать грудной жаба лето тридцать четвертый 
0	 галочка рождаться москва жить мама папа двушка нонка год три четыре назад являться сюда йошкар-ола снимать такой двушка этаж высоко старый жаба сушкова который сам ютиться 
0	 вот поэтому светка жаба оборки она этот компромат 
22390	 хотеть ходить весь пупырь как жаба 
1	 душить жаба выживание умирать рано смерть 
22390	 давать взять парочка спрятать иначе лешка сразу весь сжирать покрываться волдырь как жаба сказать добрый мамочка нина 
1	 вчера жаба так душить так душить это 
1	 гофрировать шифон стирка чистка поддаваться жаба душить прогонять опьянение слав 
22390	 как жаба любой движение общество 
1	 жена знать что оно очень полезный салат его жарка только иногда жаба душить все-таки дорогой хотя здоровье 
38123	 болезнь сокрушать лето осень год лихорадка грудной жаба плеврит брюшной тиф воспаление легкое 
1	 главное чтоб жаба задушить вместе 
1	 буркнуть хавроша оба как-то разом закручиниться обратно повертывать видно жаба задушить 
0	 уборная жить старый жаба огромный бородавчатый если полагать она 
0	 уборная жить старый жаба огромный бородавчатый если полагать она 
1	 предприимчивый американец давить жаба когда требование покупатель 
0	 этот старый жаба ну-ну босот успокаивающе подымать ладонь 
22390	 вот как жаба вытягивать этот свой мышечный орган 
1	 лесюшка жаба давить платить элементарный бытовой 
1	 маринкин лесюшка жаба давить платить элементарный бытовой 
22390	 грязнуха ревность подпрыгивать утро ночь как жаба превращать безумец 
38123	 обостряться грудной жаба стенокардия брат сказать что 
38123	 грудной жаба заставлять больной жить ощущение 
22390	 отыскивать какой-нибудь бабенка залегать самый дно как жаба вязкий болото 
1	 она вообще быть неравнодушный красивый вещь если тратить деньги всегда страшный скрип жаба давить скручивать палец держать кошелек 
1	 блин стоить проигрывать как все пестрить как побеждать тишина неужели так жаба душить 
1	 стричься вроде еще рано идти просто краситься жаба душить 
1	 хотеться предел стрижка химзавивка больше платить жаба задушить 
38123	 немой катар желудок грудной жаба что сигара 
22390	 что таращиться как жаба болото 
1	 хотеть подарить его друг затем становиться душить жаба оставлять себя 
